"id_user_source","reciprocity_count","class","class2"
"6,937",132,top_5_10,outstanding
"6,945",131,top_10_15,outstanding
"6,949",108,top_10_15,outstanding
"6,950",52,top_5,outstanding
"6,952",66,ordinary,ordinary
"6,962",66,top_5,outstanding
"6,963",66,top_5,outstanding
"6,968",172,top_5,outstanding
"6,978",67,ordinary,ordinary
"6,989","1,212",top_5,outstanding
"6,990",65,top_10_15,outstanding
"6,992",10,ordinary,ordinary
"6,996",132,top_10_15,outstanding
"6,998",2,ordinary,ordinary
"7,001",50,top_10_15,outstanding
"7,005",132,top_5_10,outstanding
"7,017",18,ordinary,ordinary
"7,019",708,top_5,outstanding
"7,020",58,ordinary,ordinary
"7,021",64,top_5,outstanding
"7,023",66,ordinary,ordinary
"7,030",165,top_5_10,outstanding
"7,044",215,top_5,outstanding
"7,052",66,top_10_15,outstanding
"7,064","2,279",top_5,outstanding
"7,066",65,ordinary,ordinary
"7,067",393,top_5,outstanding
"7,071",130,top_5,outstanding
"7,074",198,top_10_15,outstanding
"7,079",64,ordinary,ordinary
"7,081",65,ordinary,ordinary
"7,082","1,113",top_5,outstanding
"7,084",126,top_5_10,outstanding
"7,087",189,ordinary,ordinary
"7,089",20,top_10_15,outstanding
"7,093",65,ordinary,ordinary
"7,102","2,610",top_5,outstanding
"7,106",65,ordinary,ordinary
"7,107",65,top_5_10,outstanding
"7,111",933,top_5,outstanding
"7,112",186,top_5,outstanding
"7,117",65,top_5_10,outstanding
"7,123",837,top_5,outstanding
"7,124",60,top_10_15,outstanding
"7,129",108,top_5,outstanding
"7,130",65,ordinary,ordinary
"7,131",65,top_10_15,outstanding
"7,137",161,top_5,outstanding
"7,146",60,top_10_15,outstanding
"7,150",65,top_10_15,outstanding
"7,153",65,ordinary,ordinary
"7,158",459,top_5,outstanding
"7,162",120,top_5_10,outstanding
"7,168",379,top_5,outstanding
"7,176",63,ordinary,ordinary
"7,182",53,top_5_10,outstanding
"7,184",65,top_5,outstanding
"7,188",106,ordinary,ordinary
"7,193","1,151",top_5,outstanding
"7,198",771,top_5,outstanding
"7,199",62,ordinary,ordinary
"7,200",352,top_5,outstanding
"7,201",65,ordinary,ordinary
"7,208",119,ordinary,ordinary
"7,211",891,top_5,outstanding
"7,213",64,ordinary,ordinary
"7,214",159,top_5,outstanding
"7,216",400,top_5,outstanding
"7,220",127,ordinary,ordinary
"7,221",63,top_5_10,outstanding
"7,226",121,top_10_15,outstanding
"7,230",64,top_5,outstanding
"7,232","1,607",top_5,outstanding
"7,233",64,top_10_15,outstanding
"7,234",64,top_10_15,outstanding
"7,238",247,top_5,outstanding
"7,239",64,top_10_15,outstanding
"7,240",279,top_5_10,outstanding
"7,241",158,top_5_10,outstanding
