"id_user_source","reciprocity_count","class","class2"
"45,079",11,ordinary,ordinary
"45,082",11,ordinary,ordinary
"45,085",11,ordinary,ordinary
"45,093",22,ordinary,ordinary
"45,105",11,ordinary,ordinary
"45,113",4,ordinary,ordinary
"45,116",22,ordinary,ordinary
"45,119",22,top_5_10,outstanding
"45,122",11,ordinary,ordinary
"45,125",11,ordinary,ordinary
"45,129",11,ordinary,ordinary
"45,132",11,ordinary,ordinary
"45,142",18,ordinary,ordinary
"45,149",11,ordinary,ordinary
"45,151",11,ordinary,ordinary
"45,164",34,ordinary,ordinary
"45,171",9,top_5_10,outstanding
"45,178",11,ordinary,ordinary
"45,188",14,ordinary,ordinary
"45,189",106,top_5_10,outstanding
"45,201",21,top_5_10,outstanding
"45,202",29,top_10_15,outstanding
"45,203",11,ordinary,ordinary
"45,226",10,ordinary,ordinary
"45,232",40,top_5,outstanding
"45,236",10,ordinary,ordinary
"45,237",9,ordinary,ordinary
"45,251",2,ordinary,ordinary
"45,253",10,ordinary,ordinary
"45,259",10,ordinary,ordinary
"45,269",10,ordinary,ordinary
"45,270",22,ordinary,ordinary
"45,278",9,ordinary,ordinary
"45,281",10,ordinary,ordinary
"45,292",10,ordinary,ordinary
"45,295",10,ordinary,ordinary
"45,303",24,top_5_10,outstanding
"45,304",12,ordinary,ordinary
"45,305",19,ordinary,ordinary
"45,307",147,top_5,outstanding
"45,311",9,ordinary,ordinary
"45,328",17,top_5_10,outstanding
"45,330",10,ordinary,ordinary
"45,337",8,top_10_15,outstanding
"45,340",10,ordinary,ordinary
"45,351",10,top_5,outstanding
"45,384",10,ordinary,ordinary
"45,385",10,ordinary,ordinary
"45,390",10,ordinary,ordinary
"45,399",10,ordinary,ordinary
"45,402",10,ordinary,ordinary
"45,422",3,ordinary,ordinary
"45,441",10,ordinary,ordinary
"45,446",15,ordinary,ordinary
"45,451",40,top_10_15,outstanding
"45,485",78,top_5,outstanding
"45,488",10,ordinary,ordinary
"45,499",10,ordinary,ordinary
"45,507",10,ordinary,ordinary
"45,512",10,ordinary,ordinary
"45,522",89,top_5,outstanding
"45,534",40,top_5,outstanding
"45,541",26,ordinary,ordinary
"45,543",5,ordinary,ordinary
"45,544",10,ordinary,ordinary
"45,548",313,top_5,outstanding
"45,552",3,ordinary,ordinary
"45,559",10,ordinary,ordinary
"45,560",10,ordinary,ordinary
"45,564",10,ordinary,ordinary
"45,594",7,ordinary,ordinary
"45,595",17,top_10_15,outstanding
"45,598",10,ordinary,ordinary
"45,613",9,ordinary,ordinary
"45,622",10,ordinary,ordinary
"45,625",10,ordinary,ordinary
"45,629",6,top_5_10,outstanding
"45,643",8,ordinary,ordinary
"45,648",10,ordinary,ordinary
"45,653",9,ordinary,ordinary
"45,662",10,ordinary,ordinary
"45,670",10,ordinary,ordinary
"45,701",10,ordinary,ordinary
"45,707",4,ordinary,ordinary
"45,708",10,ordinary,ordinary
"45,730",1,ordinary,ordinary
"45,734",10,ordinary,ordinary
"45,749",10,ordinary,ordinary
"45,752",8,top_10_15,outstanding
"45,756",19,top_5_10,outstanding
"45,764",65,top_5_10,outstanding
"45,773",10,ordinary,ordinary
"45,775",10,ordinary,ordinary
"45,781",10,ordinary,ordinary
"45,782",10,ordinary,ordinary
"45,784",10,ordinary,ordinary
"45,790",10,ordinary,ordinary
"45,822",10,ordinary,ordinary
"45,824",10,ordinary,ordinary
"45,829",10,ordinary,ordinary
"45,835",10,ordinary,ordinary
"45,846",18,ordinary,ordinary
"45,856",23,top_5,outstanding
"45,858",17,ordinary,ordinary
"45,869",9,ordinary,ordinary
"45,870",5,ordinary,ordinary
"45,874",9,ordinary,ordinary
"45,883",9,ordinary,ordinary
"45,887",19,ordinary,ordinary
"45,910",9,ordinary,ordinary
"45,913",9,ordinary,ordinary
"45,917",18,ordinary,ordinary
"45,925",9,ordinary,ordinary
"45,934",27,top_10_15,outstanding
"45,955",9,ordinary,ordinary
"45,967",29,top_5_10,outstanding
"45,973",7,ordinary,ordinary
"45,984",10,top_5_10,outstanding
"45,996",6,ordinary,ordinary
"45,998",9,ordinary,ordinary
"46,000",15,ordinary,ordinary
"46,009",9,top_10_15,outstanding
"46,011",35,ordinary,ordinary
"46,028",7,ordinary,ordinary
"46,044",9,ordinary,ordinary
"46,052",9,ordinary,ordinary
"46,070",9,ordinary,ordinary
"46,076",9,ordinary,ordinary
"46,087",9,ordinary,ordinary
"46,100",2,ordinary,ordinary
"46,103",18,ordinary,ordinary
"46,107",38,top_5,outstanding
"46,115",9,ordinary,ordinary
"46,117",9,ordinary,ordinary
"46,119",50,top_5,outstanding
"46,135",9,ordinary,ordinary
"46,136",9,ordinary,ordinary
"46,138",9,ordinary,ordinary
"46,140",9,ordinary,ordinary
"46,148",4,ordinary,ordinary
"46,149",4,ordinary,ordinary
"46,161",27,top_5_10,outstanding
"46,164",5,ordinary,ordinary
"46,166",9,ordinary,ordinary
"46,183",7,ordinary,ordinary
"46,197",9,ordinary,ordinary
"46,209",26,top_10_15,outstanding
"46,220",18,ordinary,ordinary
"46,232",25,top_10_15,outstanding
"46,234",14,ordinary,ordinary
"46,235",9,ordinary,ordinary
"46,240",502,top_5,outstanding
"46,242",9,ordinary,ordinary
"46,256",9,ordinary,ordinary
"46,261",9,ordinary,ordinary
"46,269",9,ordinary,ordinary
"46,276",9,ordinary,ordinary
"46,286",12,ordinary,ordinary
"46,287",70,top_5,outstanding
"46,289",9,ordinary,ordinary
"46,291",9,ordinary,ordinary
"46,293",18,ordinary,ordinary
"46,296",9,ordinary,ordinary
"46,301",4,ordinary,ordinary
"46,302",11,ordinary,ordinary
"46,305",3,ordinary,ordinary
"46,315",9,ordinary,ordinary
"46,328",8,ordinary,ordinary
"46,330",11,ordinary,ordinary
"46,337",9,ordinary,ordinary
"46,341",9,ordinary,ordinary
"46,351",51,top_5,outstanding
"46,367",9,ordinary,ordinary
"46,372",8,ordinary,ordinary
"46,379",9,ordinary,ordinary
"46,383",9,ordinary,ordinary
"46,390",26,ordinary,ordinary
"46,410",17,top_5,outstanding
"46,414",9,ordinary,ordinary
"46,418",9,ordinary,ordinary
"46,420",9,ordinary,ordinary
"46,426",17,ordinary,ordinary
"46,445",9,top_10_15,outstanding
"46,448",9,ordinary,ordinary
"46,454",1,ordinary,ordinary
"46,456",8,ordinary,ordinary
"46,468",38,top_5,outstanding
"46,484",8,ordinary,ordinary
"46,496",7,ordinary,ordinary
"46,516",8,top_5_10,outstanding
"46,518",45,top_10_15,outstanding
"46,536",7,ordinary,ordinary
"46,603",8,ordinary,ordinary
"46,610",18,ordinary,ordinary
"46,612",6,ordinary,ordinary
"46,613",8,ordinary,ordinary
"46,617",26,top_10_15,outstanding
