"id_user","ari","characters","complexwords","syllables","sentences","words","count_i_usage","count_you_usage","count_she_he_usage","class","class2"
"27,747",5.019,168,1,58,3,40,5,1,0,ordinary,ordinary
"27,754",12.008,540,23,187,5,117,0,0,0,ordinary,ordinary
"27,761",5.648,503.5,18,184,7.5,120.5,8,2,0,top_5_10,outstanding
"27,764",3.317,82,2.5,26.5,2.5,18.5,0,0,0,ordinary,ordinary
"27,767",21.178,192,5,60,1,40,1,0,0,ordinary,ordinary
"27,771",4.417,472,9,159,8,122,6,0,0,ordinary,ordinary
"27,772",8.903,615.5,23,223.5,8,136,7,1,0,ordinary,ordinary
"27,773",9.6085,334.5,12,116.5,4,75,3,0,0,ordinary,ordinary
"27,775",9.896,"1,730",67,630,18,407,21,1,0,ordinary,ordinary
"27,778",9.796,404,14,138,5,83,1,0,0,ordinary,ordinary
"27,779",9.157,227.1111111111,5.8888888889,82.2222222222,2.6666666667,59.5555555556,17,3,1,ordinary,ordinary
"27,783",4.32,148,3,48,3,35,1,0,0,ordinary,ordinary
"27,793",9.312,935,27,322,11,206,10,1,0,ordinary,ordinary
"27,794",3.439,256,5,93,5,66,0,0,6,ordinary,ordinary
"27,796",4.374,87,3,29,5,17,0,0,0,ordinary,ordinary
"27,801",19.798,"1,256",49,436,7,267,1,2,0,ordinary,ordinary
"27,803",6.808,180,10,73,3,39,2,0,0,ordinary,ordinary
"27,807",9.704,203,4,72,2,55,1,0,0,ordinary,ordinary
