"id_user","ari","characters","complexwords","syllables","sentences","words","count_i_usage","count_you_usage","count_she_he_usage","class","class2"
"34,159",13.965,225,8,73,2,43,0,2,0,ordinary,ordinary
"34,160",2.47125,74.75,2,27,2.25,18.75,1,0,0,ordinary,ordinary
"34,161",6.722,299,8,100,4,75,0,1,0,ordinary,ordinary
"34,165",8.113,351,15,120,5,75,0,1,0,ordinary,ordinary
"34,166",3.325,246.3333333333,5.3333333333,86,5.3333333333,63.3333333333,1,2,0,ordinary,ordinary
"34,170",4.2045,253.5,6,94.5,4,71.5,1,0,0,ordinary,ordinary
"34,172",5.177,397,20,152,7,94,2,0,0,ordinary,ordinary
"34,180",6.227,281,9,103,4,70,0,0,0,ordinary,ordinary
"34,181",16.899,283,6,122,2,100,0,0,0,ordinary,ordinary
"34,183",12.8206666667,350.3333333333,8,115,3.3333333333,80.3333333333,11,0,0,top_10_15,outstanding
"34,184",4.862,167,5.5,55,4,38,0,0,0,ordinary,ordinary
"34,186",6.349,469,15,191,6,131,0,0,0,ordinary,ordinary
"34,187",5.731,403,11.5,150,6,105,6,1,0,ordinary,ordinary
"34,188",1.412,96,2,36,2,29,2,0,0,ordinary,ordinary
"34,190",11.3095,"1,289.5",47,452,13.5,280,3,3,0,ordinary,ordinary
"34,193",5.784,217.5,7.5,70.5,5,47,1,1,0,top_10_15,outstanding
"34,194",-0.355,100,0,34,3,29,0,0,0,ordinary,ordinary
"34,196",6.02,280,5,99,4,71,0,0,0,ordinary,ordinary
"34,198",3.976,170,3,53,4,39,1,0,0,ordinary,ordinary
"34,201",6.03425,461.5,10,177.5,6,137.25,20,0,0,top_10_15,outstanding
"34,202",16.902,909,34,318,6,191,0,0,0,ordinary,ordinary
"34,203",5.7131428571,437.4285714286,10.4285714286,149.4285714286,6.7142857143,102.5714285714,12,2,0,top_5_10,outstanding
"34,205",13.078,503,11,193,4,148,2,1,0,ordinary,ordinary
"34,207",3.287,419,10,151,8,111,17,0,0,ordinary,ordinary
"34,208",9.254,272,8,93,3,64,2,0,0,ordinary,ordinary
"34,212",7.688,739,23,251,10,168,4,0,0,ordinary,ordinary
"34,213",3.98,326,9,129,5,99,1,0,0,ordinary,ordinary
"34,214",24.256,221,10,78,1,48,5,0,0,ordinary,ordinary
"34,215",10.33,535.1428571429,11.2857142857,195,5.1428571429,145.5714285714,27,8,0,ordinary,ordinary
"34,216",4.62,25,1,8,1,5,0,0,0,ordinary,ordinary
"34,218",3.77,403,3,142,7,109,5,0,0,ordinary,ordinary
"34,219",8.749,283.6666666667,11.6666666667,100.6666666667,3.6666666667,58,3,2,0,ordinary,ordinary
"34,223",6.1655,112.75,4.25,39.5,1.75,24.75,9,0,0,ordinary,ordinary
"34,225",1.704,77,1,26,2,20,0,0,0,ordinary,ordinary
"34,231",3.8615,133,3.5,48,3,32.5,1,0,0,ordinary,ordinary
"34,236",10.506,319,6,109,3,83,4,0,0,ordinary,ordinary
"34,237",2.796,215,3,79,4,61,5,0,0,top_10_15,outstanding
"34,239",3.665,372,11,148,6,110,8,1,0,ordinary,ordinary
"34,240",1.016,46,3,18,2,11,0,0,0,ordinary,ordinary
"34,242",5.156,423,15,154,7,104,13,0,0,ordinary,ordinary
"34,243",4.904,188.88,5.56,66.52,3.36,43.96,24,5,0,top_5,outstanding
"34,244",7.239,234,6,81,3,58,0,3,0,ordinary,ordinary
"34,245",5.678,427,8,149,8,95,2,0,0,ordinary,ordinary
"34,248",11.0213333333,175,4,60,1.6666666667,42.6666666667,4,3,0,ordinary,ordinary
"34,250",2.875,454,8,160,9,122,12,0,0,ordinary,ordinary
"34,251",6.494,512,19,183,8,117,1,0,0,ordinary,ordinary
"34,252",7.3676206897,427.6206896552,14.1724137931,149.5862068966,6.1724137931,97,93,37,3,top_5,outstanding
"34,254",10.628,"1,001",55,367,11,209,0,0,1,ordinary,ordinary
"34,256",6.5,405,5,148,5,119,4,0,0,ordinary,ordinary
"34,257",14.281,265,10,97,2,61,0,1,0,ordinary,ordinary
"34,259",3.928,525,9,199,8,163,6,0,0,ordinary,ordinary
"34,260",8.39525,386.25,13,138.5,4.5,90.75,7,0,0,ordinary,ordinary
"34,262",-0.09,20,0,5,1,5,0,0,0,ordinary,ordinary
"34,263",0.761,73,1,28,2,20,0,0,0,ordinary,ordinary
"34,266",2.123,186,6,74,4,51,2,0,0,ordinary,ordinary
"34,267",5.083,290,10,108,5,70,4,0,0,ordinary,ordinary
"34,268",9.611,385,11,138,4,94,0,0,0,ordinary,ordinary
"34,269",9.695,97,6,36,2,17,0,0,0,ordinary,ordinary
"34,270",4.771,437.3333333333,11.3333333333,171.8333333333,6.5,132.1666666667,12,0,0,ordinary,ordinary
"34,271",-0.063,139,3,54,4,40,2,1,0,ordinary,ordinary
"34,272",5.1406666667,396.6666666667,8.3333333333,151.3333333333,6.3333333333,114,6,5,0,ordinary,ordinary
"34,273",55.102,362,7,156,1,126,2,0,0,ordinary,ordinary
"34,274",7.5965882353,387.0588235294,13.8235294118,139.4705882353,5.2352941176,90.0588235294,74,21,0,top_5,outstanding
"34,276",7.376,577,20,195,9,124,4,0,0,ordinary,ordinary
