"id_user","count","category","class"
"30,139",1,top_40_45,you
"30,154",1,top_50_100,you
"30,157",9,top_30_35,you
"30,159",10,top_30_35,you
"30,165",10,top_20_25,you
"30,167",1,top_45_50,you
"30,169",1,top_25_30,you
"30,172",7,top_15_20,you
"30,178",2,top_15_20,you
"30,194",1,top_20_25,you
"30,196",1,top_15_20,you
"30,212",1,top_20_25,you
"30,215",2,top_15_20,you
"30,217",1,top_15_20,you
"30,219",2,top_15_20,you
"30,234",1,top_50_100,you
"30,239",4,top_50_100,you
"30,240",3,top_30_35,you
"30,242",1,top_50_100,you
"30,254",3,top_35_40,you
"30,263",1,top_15_20,you
"30,264",2,top_15_20,you
"30,266",1,top_40_45,you
"30,274",1,top_50_100,you
"30,275",1,top_40_45,you
"30,280",1,top_30_35,you
"30,298",1,top_30_35,you
"30,299",1,top_15_20,you
"30,300",2,top_45_50,you
"30,303",1,top_20_25,you
"30,304",3,top_15_20,you
"30,306",2,top_50_100,you
"30,310",1,top_45_50,you
"30,311",2,top_50_100,you
"30,315",15,top_30_35,you
"30,318",4,top_20_25,you
"30,333",1,top_50_100,you
"30,336",1,top_20_25,you
"30,346",1,top_20_25,you
"30,349",1,top_15_20,you
"30,353",1,top_25_30,you
"30,359",5,top_50_100,you
"30,361",1,top_45_50,you
"30,366",1,top_15_20,you
"30,368",1,top_45_50,you
"30,370",1,top_15_20,you
"30,372",1,top_15_20,you
"30,377",2,top_50_100,you
"30,390",4,top_45_50,you
"30,402",1,top_35_40,you
"30,422",1,top_30_35,you
"30,426",1,top_50_100,you
"30,436",1,top_20_25,you
"30,437",3,top_50_100,you
"30,445",1,top_15_20,you
"30,448",1,top_50_100,you
"30,461",1,top_15_20,you
"30,462",1,top_20_25,you
"30,479",4,top_30_35,you
"30,487",1,top_45_50,you
"30,491",1,top_50_100,you
"30,494",4,top_25_30,you
"30,511",2,top_35_40,you
"30,532",6,top_40_45,you
"30,534",2,top_30_35,you
"30,537",1,top_30_35,you
"30,539",1,top_20_25,you
"30,548",6,top_20_25,you
"30,558",1,top_20_25,you
"30,578",1,top_45_50,you
"30,579",1,top_45_50,you
"30,584",1,top_50_100,you
"30,586",2,top_50_100,you
"30,592",3,top_15_20,you
"30,598",1,top_50_100,you
"30,603",4,top_35_40,you
"30,607",2,top_40_45,you
"30,646",6,top_15_20,you
"30,659",8,top_35_40,you
"30,666",4,top_15_20,you
"30,675",2,top_50_100,you
"30,676",1,top_15_20,you
"30,678",8,top_25_30,you
"30,682",4,top_30_35,you
"30,692",1,top_50_100,you
"30,693",3,top_20_25,you
"30,700",8,top_20_25,you
"30,703",1,top_20_25,you
"30,707",1,top_40_45,you
"30,730",10,top_35_40,you
"30,731",3,top_35_40,you
"30,732",1,top_50_100,you
"30,733",5,top_50_100,you
"30,743",3,top_50_100,you
"30,747",2,top_45_50,you
"30,764",1,top_50_100,you
"30,771",1,top_20_25,you
"30,772",1,top_15_20,you
"30,792",1,top_35_40,you
"30,803",1,top_50_100,you
"30,812",5,top_50_100,you
"30,813",1,top_30_35,you
"30,820",6,top_30_35,you
"30,822",1,top_35_40,you
"30,823",1,top_30_35,you
"30,838",2,top_20_25,you
"30,847",5,top_35_40,you
"30,848",5,top_50_100,you
"30,859",1,top_50_100,you
"30,873",2,top_25_30,you
"30,876",2,top_25_30,you
"30,880",1,top_50_100,you
"30,884",2,top_25_30,you
"30,894",1,top_20_25,you
"30,896",1,top_50_100,you
"30,901",1,top_15_20,you
"30,925",1,top_50_100,you
"30,931",1,top_15_20,you
"30,934",1,top_40_45,you
"30,939",3,top_20_25,you
"30,940",1,top_15_20,you
"30,956",4,top_35_40,you
"30,957",1,top_50_100,you
"30,960",1,top_15_20,you
"30,963",2,top_45_50,you
"30,970",1,top_25_30,you
"30,973",1,top_25_30,you
"30,978",2,top_50_100,you
"30,979",1,top_15_20,you
"30,991",1,top_50_100,you
"31,010",3,top_20_25,you
"31,013",5,top_20_25,you
"31,029",1,top_15_20,you
