"id_user","count","category","class"
"30,268",6,top_5_10,you
"30,269",73,top_5,you
"30,271",1,top_5_10,you
"30,278",14,top_5_10,you
"30,284",5,top_5,you
"30,302",30,top_5,you
"30,321",2,top_5_10,you
"30,322",2,top_10_15,you
"30,334",2,top_5_10,you
"30,337",2,top_5,you
"30,343",7,top_5_10,you
"30,352",19,top_5,you
"30,356",2,top_10_15,you
"30,357",625,top_5,you
"30,360",15,top_5_10,you
"30,363",21,top_10_15,you
"30,369",7,top_10_15,you
"30,375",2,top_10_15,you
"30,379",2,top_10_15,you
"30,383",3,top_5_10,you
"30,389",4,top_5_10,you
"30,392",12,top_5_10,you
"30,396",1,top_10_15,you
"30,404",1,top_10_15,you
"30,411",1,top_5_10,you
"30,418",8,top_5_10,you
"30,432",121,top_5,you
"30,438",2,top_5,you
"30,440",330,top_5,you
"30,441",20,top_5,you
"30,442",18,top_5,you
"30,449",3,top_5_10,you
"30,465",3,top_10_15,you
"30,468",9,top_5_10,you
"30,485",1,top_5_10,you
"30,486",1,top_10_15,you
"30,488",25,top_5_10,you
"30,493",15,top_5,you
"30,504",1,top_5_10,you
"30,522",15,top_5_10,you
"30,523",7,top_10_15,you
"30,524",1,top_10_15,you
"30,527",2,top_10_15,you
"30,542",50,top_5,you
"30,546",6,top_5_10,you
"30,551",18,top_5_10,you
"30,567",2,top_10_15,you
"30,582",14,top_5,you
"30,589",3,top_5_10,you
"30,602",1,top_5_10,you
"30,608",321,top_5,you
"30,614",95,top_5,you
"30,615",946,top_5,you
"30,616",48,top_5,you
"30,618",23,top_5,you
"30,621",16,top_5_10,you
"30,626",2,top_5_10,you
"30,628",23,top_5,you
"30,629",27,top_5,you
"30,635",12,top_5,you
"30,636",109,top_5,you
"30,637",1,top_10_15,you
"30,638",6,top_5,you
"30,649",2,top_10_15,you
"30,650",13,top_5_10,you
"30,658",96,top_5,you
"30,665",21,top_5_10,you
"30,668",3,top_10_15,you
"30,673",3,top_10_15,you
"30,687",172,top_5,you
"30,701",20,top_5,you
"30,706",7,top_5,you
"30,734",1,top_5_10,you
"30,740",7,top_5,you
"30,745",1,top_10_15,you
"30,763",6,top_10_15,you
"30,776",5,top_10_15,you
"30,783",3,top_10_15,you
"30,798",3,top_5,you
"30,801",6,top_5,you
"30,802",3,top_5_10,you
"30,804",75,top_5,you
"30,811",3,top_5_10,you
"30,814",6,top_10_15,you
"30,830",2,top_10_15,you
