"id_user","count","category","class"
"7,669",3,top_10_15,you
"7,670",1,top_5_10,you
"7,676",4,top_10_15,you
"7,677",12,top_5_10,you
"7,687",2,top_10_15,you
"7,689",1,top_5_10,you
"7,692",4,top_5_10,you
"7,701",56,top_5,you
"7,702",2,top_10_15,you
"7,703",36,top_5,you
"7,705",23,top_5_10,you
"7,716",1,top_5_10,you
"7,719",14,top_5,you
"7,726",117,top_5,you
"7,733",5,top_5_10,you
"7,737",162,top_5,you
"7,741",4,top_5_10,you
"7,754",18,top_5_10,you
"7,760",1,top_10_15,you
"7,761",3,top_10_15,you
"7,762",33,top_5,you
"7,763",1,top_5_10,you
"7,771",1,top_5_10,you
"7,777",2,top_5,you
"7,784",5,top_5_10,you
"7,789",8,top_5_10,you
"7,790",7,top_5_10,you
"7,792",2,top_10_15,you
"7,794",13,top_5_10,you
"7,802",2,top_5,you
"7,807",1,top_5_10,you
"7,813",7,top_5,you
"7,814",9,top_10_15,you
"7,819",602,top_5,you
"7,835",3,top_5,you
"7,836",3,top_5_10,you
"7,837",21,top_5,you
"7,848",2,top_5_10,you
"7,859",20,top_5_10,you
"7,860",2,top_5_10,you
"7,863",1,top_5_10,you
"7,868",7,top_5_10,you
"7,879",31,top_5_10,you
"7,881",22,top_10_15,you
"7,882",11,top_5_10,you
"7,885","1,709",top_5,you
"7,886",18,top_5_10,you
"7,898",805,top_5,you
"7,901",2,top_10_15,you
"7,902",36,top_5,you
"7,915",7,top_10_15,you
"7,931",3,top_10_15,you
"7,939",3,top_10_15,you
"7,942",50,top_5,you
"7,943",125,top_5,you
"7,944",1,top_10_15,you
"7,947",13,top_5,you
"7,961",5,top_10_15,you
"7,967",2,top_10_15,you
"7,981",20,top_5_10,you
"7,989",3,top_5_10,you
"7,993",72,top_5,you
"7,994",2,top_10_15,you
"7,995",15,top_5_10,you
"7,996",3,top_5_10,you
"8,001",32,top_5,you
"8,006",158,top_5,you
"8,014",54,top_5,you
"8,015",9,top_5_10,you
"8,031",2,top_5_10,you
"8,033",37,top_5,you
"8,041",6,top_5_10,you
"8,046",104,top_5,you
"8,058",1,top_5_10,you
"8,072",14,top_5_10,you
"8,074",2,top_10_15,you
"8,076",12,top_10_15,you
"8,077",1,top_5_10,you
"8,089",13,top_5_10,you
"8,124",177,top_5,you
"8,129",18,top_5,you
"8,130",5,top_5_10,you
"8,131",14,top_5_10,you
"8,135",993,top_5,you
"8,141",18,top_5,you
"8,149",14,top_5_10,you
"8,159",5,top_10_15,you
"8,162",6,top_10_15,you
"8,163",1,top_5_10,you
"8,176",82,top_5,you
"8,178",1,top_10_15,you
"8,195",5,top_10_15,you
