"id_user","class","class2","modularity_class","citations","avg_part"
"31,765",top_5_10,outstanding,46,0,1
"31,767",ordinary,ordinary,46,0,2
"31,770",ordinary,ordinary,44,0,2
"31,773",ordinary,ordinary,47,0,2
"31,776",ordinary,ordinary,44,0,2
"31,780",ordinary,ordinary,44,0,1
"31,783",ordinary,ordinary,44,0,1
"31,784",ordinary,ordinary,44,0,1
"31,786",ordinary,ordinary,46,0,3
"31,787",ordinary,ordinary,56,0,1
"31,790",top_10_15,outstanding,44,0,1
"31,792",ordinary,ordinary,9,2,1.3333333333
"31,794",ordinary,ordinary,44,0,1
"31,795",top_5,outstanding,44,1,1.5714285714
"31,796",top_5_10,outstanding,44,2,1.9
"31,797",top_5,outstanding,9,9,1.2307692308
"31,798",top_10_15,outstanding,47,0,1.4444444444
"31,799",ordinary,ordinary,44,0,1
"31,801",top_5,outstanding,44,0,2.2272727273
"31,803",top_5_10,outstanding,9,0,2.125
"31,804",top_10_15,outstanding,56,0,4
"31,805",top_10_15,outstanding,44,0,1
"31,808",ordinary,ordinary,44,0,1
"31,809",ordinary,ordinary,44,0,1.3333333333
"31,810",top_5_10,outstanding,44,5,5.6
"31,811",ordinary,ordinary,44,0,1
"31,813",ordinary,ordinary,56,0,1
"31,814",ordinary,ordinary,46,0,1
"31,817",ordinary,ordinary,47,0,3
"31,818",ordinary,ordinary,41,1,3
"31,819",ordinary,ordinary,9,0,1
"31,820",ordinary,ordinary,46,0,1
"31,821",top_10_15,outstanding,44,0,2
"31,822",top_5_10,outstanding,44,0,2
"31,823",top_10_15,outstanding,46,0,1
"31,824",top_10_15,outstanding,44,0,4
"31,826",ordinary,ordinary,44,2,4.3333333333
"31,829",ordinary,ordinary,46,0,1
"31,832",top_10_15,outstanding,44,0,2.125
"31,834",ordinary,ordinary,44,0,2
"31,835",ordinary,ordinary,56,0,1
"31,836",top_5,outstanding,44,4,1.9523809524
"31,838",ordinary,ordinary,44,0,1
"31,839",top_5_10,outstanding,16,0,1.3333333333
"31,841",ordinary,ordinary,46,0,1
"31,843",top_5_10,outstanding,44,0,2
"31,845",ordinary,ordinary,56,0,1
"31,847",top_5,outstanding,56,1,1.8571428571
"31,849",ordinary,ordinary,44,0,1
"31,850",ordinary,ordinary,44,0,2
"31,851",ordinary,ordinary,44,0,1.5
"31,852",top_10_15,outstanding,44,0,1
"31,854",top_5,outstanding,31,12,1.6511627907
"31,855",ordinary,ordinary,46,0,1
"31,856",ordinary,ordinary,46,0,1
"31,857",top_10_15,outstanding,56,1,1.25
"31,858",ordinary,ordinary,47,0,2
"31,861",ordinary,ordinary,43,0,1
"31,864",ordinary,ordinary,44,0,2
"31,865",ordinary,ordinary,56,0,1.3333333333
"31,867",ordinary,ordinary,44,0,1.6666666667
"31,868",ordinary,ordinary,44,0,1
"31,869",ordinary,ordinary,44,0,2
"31,873",top_5_10,outstanding,44,0,2.4
"31,874",ordinary,ordinary,56,0,2
"31,879",ordinary,ordinary,44,0,2.6666666667
"31,880",ordinary,ordinary,44,0,1.25
"31,882",top_10_15,outstanding,44,0,2
"31,886",ordinary,ordinary,56,0,1
"31,888",ordinary,ordinary,16,0,1.5
"31,889",ordinary,ordinary,46,0,1
"31,890",ordinary,ordinary,44,0,1
"31,893",top_5_10,outstanding,56,3,1.6666666667
"31,894",ordinary,ordinary,44,0,1
"31,895",ordinary,ordinary,44,0,1
"31,896",ordinary,ordinary,16,0,5
"31,898",ordinary,ordinary,56,0,1
"31,899",ordinary,ordinary,46,0,1
"31,900",top_10_15,outstanding,44,7,6
"31,901",top_5_10,outstanding,46,0,2.5
"31,903",ordinary,ordinary,30,0,1
"31,904",ordinary,ordinary,44,0,1
"31,906",ordinary,ordinary,16,0,1
"31,907",ordinary,ordinary,46,0,1
"31,908",top_10_15,outstanding,16,0,1
"31,911",top_5,outstanding,44,0,3
"31,914",ordinary,ordinary,56,0,1
"31,915",ordinary,ordinary,44,0,3
"31,918",ordinary,ordinary,44,0,1.5
"31,925",top_5_10,outstanding,56,0,1.4
"31,926",ordinary,ordinary,44,0,1
"31,927",ordinary,ordinary,9,0,1
"31,928",top_5,outstanding,16,8,1.4146341463
"31,930",ordinary,ordinary,44,0,1
"31,936",ordinary,ordinary,44,0,1
"31,937",ordinary,ordinary,46,0,2
"31,938",ordinary,ordinary,44,0,1
"31,939",ordinary,ordinary,44,0,1
"31,940",ordinary,ordinary,44,0,1
"31,942",ordinary,ordinary,44,0,1
"31,948",top_5_10,outstanding,56,6,3.3636363636
"31,949",ordinary,ordinary,16,0,1.5
"31,952",ordinary,ordinary,44,0,1
"31,953",ordinary,ordinary,16,0,2
"31,954",ordinary,ordinary,16,0,1
"31,956",ordinary,ordinary,44,0,2
"31,960",ordinary,ordinary,46,1,2
"31,962",ordinary,ordinary,9,0,1
"31,963",ordinary,ordinary,44,0,1
"31,966",ordinary,ordinary,44,0,1
"31,968",ordinary,ordinary,44,0,1
"31,969",ordinary,ordinary,44,0,1.5
"31,970",ordinary,ordinary,44,3,3
"31,972",ordinary,ordinary,44,0,1
"31,975",ordinary,ordinary,56,0,2.5
"31,977",top_5_10,outstanding,44,4,1.7222222222
"31,978",ordinary,ordinary,56,0,1
"31,979",ordinary,ordinary,44,0,3
"31,980",ordinary,ordinary,44,0,1
"31,981",ordinary,ordinary,44,0,1
"31,983",ordinary,ordinary,44,0,1
"31,984",ordinary,ordinary,56,0,2
"31,986",ordinary,ordinary,44,0,1
"31,988",ordinary,ordinary,16,0,1.5
"31,990",ordinary,ordinary,44,0,2
"31,991",ordinary,ordinary,44,1,2.2
"31,992",ordinary,ordinary,56,0,1
"31,994",ordinary,ordinary,44,0,1.4615384615
"31,995",top_5_10,outstanding,44,1,1.6363636364
"31,996",top_5_10,outstanding,56,0,2
"31,998",ordinary,ordinary,44,1,3
"31,999",top_10_15,outstanding,44,0,1
"32,002",ordinary,ordinary,56,0,1
"32,003",ordinary,ordinary,46,0,2
"32,004",top_10_15,outstanding,9,0,1
"32,005",ordinary,ordinary,44,2,3
"32,006",ordinary,ordinary,46,0,1
"32,007",ordinary,ordinary,44,0,3
"32,008",top_5,outstanding,56,1,2
"32,009",top_5_10,outstanding,44,0,6
