"id_user","class","class2","modularity_class","citations","avg_part"
"20,599",ordinary,ordinary,18,0,1
"20,600",ordinary,ordinary,0,0,1
"20,602",ordinary,ordinary,27,1,1.4285714286
"20,604",ordinary,ordinary,22,0,3
"20,608",top_5,outstanding,0,12,1.5357142857
"20,613",ordinary,ordinary,27,0,1
"20,614",ordinary,ordinary,0,0,1
"20,615",top_10_15,outstanding,27,2,1.7777777778
"20,617",ordinary,ordinary,0,0,1
"20,618",ordinary,ordinary,26,0,1.5
"20,622",ordinary,ordinary,0,0,2
"20,625",ordinary,ordinary,27,0,5.3333333333
"20,626",ordinary,ordinary,35,0,4
"20,630",ordinary,ordinary,18,0,1
"20,635",ordinary,ordinary,18,0,1.75
"20,639",ordinary,ordinary,17,0,1
"20,642",top_10_15,outstanding,17,0,1.7142857143
"20,643",ordinary,ordinary,17,0,2
"20,647",ordinary,ordinary,20,0,2
"20,649",ordinary,ordinary,0,0,1
"20,652",ordinary,ordinary,17,0,1
"20,660",ordinary,ordinary,20,0,3
"20,662",ordinary,ordinary,18,0,1
"20,665",ordinary,ordinary,18,0,2.5
"20,666",ordinary,ordinary,27,0,2
"20,668",ordinary,ordinary,22,0,1
"20,674",ordinary,ordinary,18,0,1.5
"20,676",ordinary,ordinary,17,0,1
"20,677",top_10_15,outstanding,18,2,1.8888888889
"20,682",ordinary,ordinary,10,0,1
"20,688",ordinary,ordinary,17,0,1
"20,693",ordinary,ordinary,18,0,2
"20,696",ordinary,ordinary,26,0,1
"20,697",ordinary,ordinary,35,0,1
"20,699",ordinary,ordinary,18,0,1
"20,702",ordinary,ordinary,27,0,1
"20,705",ordinary,ordinary,27,0,1
"20,706",ordinary,ordinary,27,0,4
"20,719",ordinary,ordinary,0,0,1
"20,720",ordinary,ordinary,17,0,2
"20,721",ordinary,ordinary,0,0,2
"20,727",ordinary,ordinary,22,0,1.6666666667
"20,735",ordinary,ordinary,27,0,4
"20,737",ordinary,ordinary,18,1,1.875
"20,738",ordinary,ordinary,0,0,1
"20,740",ordinary,ordinary,35,0,1.8
"20,746",ordinary,ordinary,17,0,1.5
"20,747",ordinary,ordinary,17,0,1
"20,748",ordinary,ordinary,24,1,4
"20,750",ordinary,ordinary,17,0,8
"20,753",ordinary,ordinary,24,0,1
"20,754",ordinary,ordinary,18,2,1.5
"20,756",ordinary,ordinary,22,0,2.5
"20,757",ordinary,ordinary,11,0,2
"20,758",ordinary,ordinary,0,0,1
"20,766",ordinary,ordinary,0,0,2
"20,768",ordinary,ordinary,0,0,1
"20,769",ordinary,ordinary,0,1,1
