"id","betweenness","closeness","clustering_coefficient","degree","eccentricity","eigenvector","harmonic_closeness","id_community","id_user","indegree","interactions","modularity_class","outdegree","page_rank","strongly_component","weakly_component","id_graph_analysis_context","class","class2"
"494,363",0,0.3054671681,0.6499999762,5,7,0,0.3210529401,3,"38,856",0,6,27,5,0.0000155522,"3,905",0,145,ordinary,ordinary
"500,462",0,0.2706069305,0.6666666865,5,7,0.0043704218,0.2823667902,3,"31,713",2,5,44,3,0.0000360057,"1,043",0,145,ordinary,ordinary
"491,230",0,0.2903562789,0,2,7,0,0.3043719173,3,"34,962",0,2,56,2,0.0000155522,"2,075",0,145,ordinary,ordinary
"500,098",0,0.2129461585,0,1,9,0,0.2182136845,3,"31,269",0,1,44,1,0.0000155522,"7,061",0,145,ordinary,ordinary
"495,579",0,0.2825191289,0.5,5,8,0.0001927139,0.2953357233,3,"40,474",1,5,16,4,0.0000155522,"4,645",0,145,ordinary,ordinary
"497,140",0,0.2749713572,0.3333333433,3,7,0,0.2871018218,3,"43,767",0,3,16,3,0.0000155522,"5,561",0,145,ordinary,ordinary
"497,805",0,0.284820369,0.3333333433,3,7,0,0.2977155483,3,"45,194",0,3,44,3,0.0000155522,"5,908",0,145,ordinary,ordinary
"501,342",0,0.2660920409,0,2,8,0.0060984874,0.2770377236,3,"32,758",1,2,56,1,0.0000462397,"1,043",0,145,ordinary,ordinary
"490,060",0,0.284743569,0,1,7,0,0.2976240079,3,"49,954",0,1,9,1,0.0000155522,"1,430",0,145,ordinary,ordinary
"492,297",0,0.248155285,0.5,3,8,0.0001927139,0.2564030934,3,"36,222",1,3,44,2,0.0000155522,"2,657",0,145,ordinary,ordinary
"501,047",0,0.2784663256,0.6666666865,3,7,0,0.2917798521,3,"48,802",0,3,41,3,0.0000155522,"7,538",0,145,ordinary,ordinary
"491,295",0,0.2968793927,0.4285714328,8,7,0.0001927139,0.3115160534,3,"35,038",1,13,56,7,0.0000155522,"2,101",0,145,ordinary,ordinary
"499,858",0,0.284743569,0,1,7,0,0.2976240079,3,"47,366",0,2,9,1,0.0000155522,"6,939",0,145,ordinary,ordinary
"495,431",0,0.290821948,0.6999999881,6,7,0.0028983523,0.3051010743,3,"40,199",2,8,27,4,0.0000464396,"1,043",0,145,ordinary,ordinary
"496,845",0,0.2745709828,1,2,8,0,0.2872833243,3,"43,017",0,2,16,2,0.0000155522,"5,402",0,145,ordinary,ordinary
"491,044",0,0.2826249866,0.6666666865,4,7,0.0001927139,0.2958279221,3,"34,751",1,4,56,3,0.0000155522,"1,973",0,145,ordinary,ordinary
"494,128",0,0.2676534699,0.1666666716,3,7,0,0.2790178571,3,"54,948",0,3,56,3,0.0000155522,"3,751",0,145,ordinary,ordinary
