"id","betweenness","closeness","clustering_coefficient","degree","eccentricity","eigenvector","harmonic_closeness","id_community","id_user","indegree","interactions","modularity_class","outdegree","page_rank","strongly_component","weakly_component","id_graph_analysis_context","class","class2"
"238,660",49.5118806117,0.2848143844,0.8333333135,4,7,0.0036285353,0.2972882604,2,"8,283",1,6,25,3,0.0000565961,"1,057",0,83,ordinary,ordinary
"240,946",6.8249624368,0.2188851288,0,2,8,0.0005910674,0.2245498328,2,"11,180",1,2,35,1,0.0000321647,"1,057",0,83,ordinary,ordinary
"236,448","17,830.2126701935",0.2901919242,0.2564102709,16,7,0.0272541149,0.303378938,2,"20,319",10,20,18,6,0.0001402743,"1,057",0,83,ordinary,ordinary
"237,311",202.200867776,0.301873339,0.5,5,7,0.0005679155,0.3173272186,2,"22,797",2,9,35,3,0.0000443205,"1,057",0,83,ordinary,ordinary
"238,343",93.984715742,0.2876281022,0.25,5,7,0.0002400265,0.3008866607,2,"7,875",1,5,25,4,0.0000296756,"2,511",0,83,ordinary,ordinary
"240,006",0,0.3099960069,0.6999999881,6,7,0.0002161533,0.3260289517,2,"9,936",1,8,22,5,0.0000219181,"3,563",0,83,ordinary,ordinary
"242,666",0,0.3028017942,0.0833333358,4,7,0,0.3184219673,2,"13,928",0,4,22,4,0.0000219181,"4,754",0,83,ordinary,ordinary
"238,900",210.4912808836,0.2865669805,0.4166666567,6,7,0.0097028746,0.2997024449,2,"8,544",3,6,25,3,0.0000533433,"1,057",0,83,ordinary,ordinary
"242,967",0,0.2784787419,0,2,7,0.0092004501,0.290418929,2,"14,541",1,2,17,1,0.0000577786,"1,057",0,83,ordinary,ordinary
"239,302",0,0.2774865992,0,5,7,0,0.2894229295,2,"9,072",0,5,0,5,0.0000219181,"3,218",0,83,ordinary,ordinary
"241,105",0,0.2882163634,0,2,6,0.0149470532,0.3021616205,2,"11,363",1,2,35,1,0.0000580242,"1,057",0,83,ordinary,ordinary
"235,774",0,0.2952586207,0.2333333343,7,7,0.0002161533,0.3097957431,2,"18,386",1,9,0,6,0.0000219181,"1,523",0,83,ordinary,ordinary
"239,508",406.1969723993,0.3100119824,0.4333333373,7,6,0.0190789459,0.3268592084,2,"9,329",3,7,35,4,0.0000856494,"1,057",0,83,ordinary,ordinary
"241,929",0,0.2475415936,0,2,7,0.001777759,0.2559117355,2,"12,370",1,2,35,1,0.0000451733,"1,057",0,83,ordinary,ordinary
"238,005","1,912.5538773316",0.2754317483,0.4499999881,7,7,0.0016415355,0.2874878575,2,"7,437",2,7,25,5,0.0000373358,"1,057",0,83,ordinary,ordinary
"237,807",277.6435354973,0.2690974229,0.1666666716,5,7,0.0048154589,0.2810484984,2,"7,188",2,5,25,3,0.000051753,"1,057",0,83,ordinary,ordinary
"242,869",0,0.308967896,0.5,9,6,0.0002161533,0.3254257908,2,"14,358",1,14,17,8,0.0000219181,"4,840",0,83,ordinary,ordinary
"236,253",0,0.3156076412,0.5,8,6,0.0002161533,0.3336660228,2,"19,758",1,10,35,7,0.0000219181,"1,788",0,83,ordinary,ordinary
"243,471",0,0.2936207766,0.5,5,7,0.0002161533,0.3084498763,2,"15,606",1,8,22,4,0.0000219181,"5,130",0,83,ordinary,ordinary
"241,281",146.6331618149,0.3092961487,0.3333333433,8,6,0.0004403109,0.3253649635,2,"11,582",2,9,26,6,0.0000256443,"3,779",0,83,ordinary,ordinary
"241,559",0,0.2924303289,0.3333333433,4,7,0,0.3065602674,2,"11,953",0,4,25,4,0.0000219181,"4,289",0,83,ordinary,ordinary
"239,636",0,0.2932770993,0.5,4,7,0,0.3063374523,2,"9,487",0,4,35,4,0.0000219181,"3,381",0,83,ordinary,ordinary
