"id_user","count_i_usage","category","class","class2"
"13,124",1,top_50_100,ordinary,ordinary
"13,128",3,top_20_25,ordinary,ordinary
"13,129",11,top_5,top_5,outstanding
"13,131",5,top_25_30,ordinary,ordinary
"13,139",4,top_30_35,ordinary,ordinary
"13,144",7,top_50_100,ordinary,ordinary
"13,146",3,top_35_40,ordinary,ordinary
"13,152",4,top_35_40,ordinary,ordinary
"13,157",7,top_25_30,ordinary,ordinary
"13,158",2,top_50_100,ordinary,ordinary
"13,160",2,top_50_100,ordinary,ordinary
"13,161",2,top_35_40,ordinary,ordinary
"13,162",1,top_50_100,ordinary,ordinary
"13,163",130,top_5,top_5,outstanding
"13,164",42,top_45_50,ordinary,ordinary
"13,166",1,top_15_20,ordinary,ordinary
"13,167",1,top_20_25,ordinary,ordinary
"13,171",1,top_35_40,ordinary,ordinary
"13,172",4,top_50_100,ordinary,ordinary
"13,174",5,top_35_40,ordinary,ordinary
"13,175",88,top_10_15,top_10_15,outstanding
"13,177",1,top_10_15,top_10_15,outstanding
"13,180",29,top_50_100,ordinary,ordinary
"13,181",3,top_30_35,ordinary,ordinary
"13,182",7,top_50_100,ordinary,ordinary
"13,183",2,top_30_35,ordinary,ordinary
"13,184",12,top_5_10,top_5_10,outstanding
"13,189",5,top_15_20,ordinary,ordinary
"13,193",4,top_50_100,ordinary,ordinary
"13,194",4,top_30_35,ordinary,ordinary
"13,198",2,top_15_20,ordinary,ordinary
"13,207",6,top_30_35,ordinary,ordinary
"13,208",131,top_5,top_5,outstanding
"13,212",28,top_10_15,top_10_15,outstanding
"13,213",8,top_20_25,ordinary,ordinary
"13,214",1,top_50_100,ordinary,ordinary
"13,216",2,top_50_100,ordinary,ordinary
"13,219",7,top_50_100,ordinary,ordinary
"13,220",20,top_15_20,ordinary,ordinary
"13,223",3,top_20_25,ordinary,ordinary
"13,230",15,top_5_10,top_5_10,outstanding
"13,234",2,top_50_100,ordinary,ordinary
"13,235",4,top_50_100,ordinary,ordinary
"13,236",3,top_20_25,ordinary,ordinary
"13,244",8,top_45_50,ordinary,ordinary
"13,246",3,top_40_45,ordinary,ordinary
"13,252",3,top_50_100,ordinary,ordinary
"13,257",1,top_25_30,ordinary,ordinary
"13,259",7,top_5_10,top_5_10,outstanding
"13,262",3,top_50_100,ordinary,ordinary
"13,264",6,top_50_100,ordinary,ordinary
"13,265",1,top_40_45,ordinary,ordinary
"13,266",5,top_50_100,ordinary,ordinary
"13,269",3,top_50_100,ordinary,ordinary
"13,270",39,top_5,top_5,outstanding
"13,273",43,top_5_10,top_5_10,outstanding
"13,274",11,top_50_100,ordinary,ordinary
"13,276",8,top_10_15,top_10_15,outstanding
"13,277",4,top_5_10,top_5_10,outstanding
"13,280",1,top_10_15,top_10_15,outstanding
"13,289",1,top_50_100,ordinary,ordinary
"13,292",13,top_50_100,ordinary,ordinary
"13,295",6,top_50_100,ordinary,ordinary
"13,296",1,top_50_100,ordinary,ordinary
"13,298",1,top_40_45,ordinary,ordinary
"13,299","2,178",top_5,top_5,outstanding
"13,300",20,top_50_100,ordinary,ordinary
"13,303",2,top_5_10,top_5_10,outstanding
"13,305",6,top_50_100,ordinary,ordinary
"13,308",18,top_15_20,ordinary,ordinary
"13,325",3,top_50_100,ordinary,ordinary
"13,327",7,top_50_100,ordinary,ordinary
"13,328",1,top_20_25,ordinary,ordinary
"13,335",4,top_50_100,ordinary,ordinary
"13,338",7,top_40_45,ordinary,ordinary
"13,343",1,top_40_45,ordinary,ordinary
"13,345",14,top_5,top_5,outstanding
"13,349",6,top_15_20,ordinary,ordinary
"13,353",15,top_10_15,top_10_15,outstanding
"13,354",6,top_50_100,ordinary,ordinary
"13,358",11,top_50_100,ordinary,ordinary
"13,359",2,top_10_15,top_10_15,outstanding
"13,362",32,top_30_35,ordinary,ordinary
"13,363",4,top_50_100,ordinary,ordinary
"13,366",3,top_50_100,ordinary,ordinary
"13,368",9,top_30_35,ordinary,ordinary
"13,369",2,top_50_100,ordinary,ordinary
"13,372",9,top_50_100,ordinary,ordinary
"13,374",1,top_50_100,ordinary,ordinary
"13,377",12,top_50_100,ordinary,ordinary
"13,379",46,top_5,top_5,outstanding
"13,380",4,top_20_25,ordinary,ordinary
"13,384",2,top_50_100,ordinary,ordinary
"13,385",10,top_50_100,ordinary,ordinary
"13,386",6,top_5_10,top_5_10,outstanding
"13,387",14,top_30_35,ordinary,ordinary
"13,393",23,top_20_25,ordinary,ordinary
"13,395",9,top_50_100,ordinary,ordinary
"13,396",14,top_50_100,ordinary,ordinary
"13,397",8,top_15_20,ordinary,ordinary
"13,401",7,top_50_100,ordinary,ordinary
"13,403",5,top_50_100,ordinary,ordinary
"13,404",9,top_5_10,top_5_10,outstanding
"13,406",1,top_15_20,ordinary,ordinary
"13,409",3,top_40_45,ordinary,ordinary
"13,412",2,top_25_30,ordinary,ordinary
"13,417",14,top_50_100,ordinary,ordinary
"13,419",5,top_20_25,ordinary,ordinary
"13,424",113,top_5,top_5,outstanding
"13,434",2,top_50_100,ordinary,ordinary
"13,435",12,top_50_100,ordinary,ordinary
"13,437",6,top_50_100,ordinary,ordinary
"13,438",3,top_10_15,top_10_15,outstanding
"13,445",1,top_50_100,ordinary,ordinary
"13,446",7,top_5_10,top_5_10,outstanding
"13,451",7,top_25_30,ordinary,ordinary
"13,452",20,top_20_25,ordinary,ordinary
"13,455",12,top_50_100,ordinary,ordinary
"13,456",3,top_5_10,top_5_10,outstanding
"13,458",2,top_30_35,ordinary,ordinary
"13,462",3,top_50_100,ordinary,ordinary
"13,468",5,top_50_100,ordinary,ordinary
