"id_user","count_they_usage","category","class","class2"
"7,558",12,top_5_10,top_5_10,outstanding
"7,561",1,top_50_100,ordinary,ordinary
"7,563",1,top_50_100,ordinary,ordinary
"7,564",1,top_5_10,top_5_10,outstanding
"7,565",659,top_5,top_5,outstanding
"7,569",4,top_15_20,ordinary,ordinary
"7,570",1,top_5_10,top_5_10,outstanding
"7,572",3,top_25_30,ordinary,ordinary
"7,573",6,top_5,top_5,outstanding
"7,574",3,top_10_15,top_10_15,outstanding
"7,576",2,top_15_20,ordinary,ordinary
"7,585",1,top_5_10,top_5_10,outstanding
"7,587",1,top_45_50,ordinary,ordinary
"7,588",5,top_5,top_5,outstanding
"7,590",2,top_5_10,top_5_10,outstanding
"7,591",31,top_5,top_5,outstanding
"7,602",3,top_5_10,top_5_10,outstanding
"7,603",2,top_5_10,top_5_10,outstanding
"7,604",28,top_5,top_5,outstanding
"7,605",3,top_45_50,ordinary,ordinary
"7,609",26,top_5,top_5,outstanding
"7,616",5,top_5_10,top_5_10,outstanding
"7,617",25,top_5,top_5,outstanding
"7,618",2,top_5_10,top_5_10,outstanding
"7,622",2,top_50_100,ordinary,ordinary
"7,625",1,top_50_100,ordinary,ordinary
"7,626",1,top_50_100,ordinary,ordinary
"7,628",7,top_10_15,top_10_15,outstanding
"7,629",4,top_50_100,ordinary,ordinary
"7,633",3,top_50_100,ordinary,ordinary
"7,638",6,top_50_100,ordinary,ordinary
"7,643",1,top_50_100,ordinary,ordinary
"7,650",1,top_50_100,ordinary,ordinary
"7,651",2,top_5_10,top_5_10,outstanding
"7,652",1,top_20_25,ordinary,ordinary
"7,657",2,top_25_30,ordinary,ordinary
"7,658",8,top_5_10,top_5_10,outstanding
"7,659",5,top_20_25,ordinary,ordinary
"7,660",1,top_5_10,top_5_10,outstanding
"7,662",5,top_25_30,ordinary,ordinary
"7,667",1,top_35_40,ordinary,ordinary
"7,669",3,top_10_15,top_10_15,outstanding
"7,670",1,top_5_10,top_5_10,outstanding
"7,673",1,top_20_25,ordinary,ordinary
"7,675",6,top_10_15,top_10_15,outstanding
"7,676",3,top_10_15,top_10_15,outstanding
"7,677",15,top_5_10,top_5_10,outstanding
"7,685",1,top_25_30,ordinary,ordinary
"7,687",4,top_10_15,top_10_15,outstanding
"7,689",3,top_5_10,top_5_10,outstanding
"7,692",3,top_5_10,top_5_10,outstanding
"7,701",61,top_5,top_5,outstanding
"7,703",13,top_5,top_5,outstanding
"7,704",2,top_10_15,top_10_15,outstanding
"7,705",2,top_5_10,top_5_10,outstanding
"7,716",3,top_5_10,top_5_10,outstanding
"7,718",3,top_45_50,ordinary,ordinary
"7,719",16,top_5,top_5,outstanding
"7,726",75,top_5,top_5,outstanding
"7,727",6,top_35_40,ordinary,ordinary
"7,729",2,top_20_25,ordinary,ordinary
"7,731",2,top_15_20,ordinary,ordinary
"7,733",10,top_5_10,top_5_10,outstanding
"7,737",50,top_5,top_5,outstanding
"7,741",1,top_5_10,top_5_10,outstanding
"7,747",1,top_25_30,ordinary,ordinary
"7,754",10,top_5_10,top_5_10,outstanding
"7,755",1,top_15_20,ordinary,ordinary
"7,756",3,top_15_20,ordinary,ordinary
"7,758",2,top_15_20,ordinary,ordinary
"7,760",2,top_10_15,top_10_15,outstanding
"7,761",9,top_10_15,top_10_15,outstanding
"7,762",21,top_5,top_5,outstanding
"7,763",2,top_5_10,top_5_10,outstanding
"7,765",5,top_25_30,ordinary,ordinary
"7,766",1,top_15_20,ordinary,ordinary
"7,777",11,top_5,top_5,outstanding
"7,781",3,top_25_30,ordinary,ordinary
"7,784",10,top_5_10,top_5_10,outstanding
"7,789",16,top_5_10,top_5_10,outstanding
"7,790",6,top_5_10,top_5_10,outstanding
"7,791",1,top_20_25,ordinary,ordinary
"7,792",3,top_10_15,top_10_15,outstanding
"7,794",4,top_5_10,top_5_10,outstanding
"7,802",4,top_5,top_5,outstanding
"7,807",11,top_5_10,top_5_10,outstanding
"7,813",56,top_5,top_5,outstanding
"7,814",1,top_10_15,top_10_15,outstanding
"7,815",4,top_25_30,ordinary,ordinary
"7,819",296,top_5,top_5,outstanding
"7,828",1,top_20_25,ordinary,ordinary
"7,835",16,top_5,top_5,outstanding
"7,836",8,top_5_10,top_5_10,outstanding
"7,837",7,top_5,top_5,outstanding
"7,840",3,top_5_10,top_5_10,outstanding
"7,847",6,top_15_20,ordinary,ordinary
"7,848",3,top_5_10,top_5_10,outstanding
"7,850",2,top_15_20,ordinary,ordinary
"7,859",20,top_5_10,top_5_10,outstanding
"7,860",10,top_5_10,top_5_10,outstanding
"7,863",17,top_5_10,top_5_10,outstanding
"7,868",10,top_5_10,top_5_10,outstanding
"7,869",7,top_25_30,ordinary,ordinary
"7,870",1,top_15_20,ordinary,ordinary
"7,874",1,top_50_100,ordinary,ordinary
"7,875",1,top_15_20,ordinary,ordinary
"7,876",2,top_20_25,ordinary,ordinary
"7,879",8,top_5_10,top_5_10,outstanding
"7,880",1,top_45_50,ordinary,ordinary
"7,881",1,top_10_15,top_10_15,outstanding
"7,882",14,top_5_10,top_5_10,outstanding
"7,885",488,top_5,top_5,outstanding
"7,886",8,top_5_10,top_5_10,outstanding
"7,887",2,top_20_25,ordinary,ordinary
"7,889",1,top_50_100,ordinary,ordinary
"7,891",1,top_20_25,ordinary,ordinary
"7,898",354,top_5,top_5,outstanding
"7,901",1,top_10_15,top_10_15,outstanding
"7,902",34,top_5,top_5,outstanding
"7,903",2,top_10_15,top_10_15,outstanding
"7,904",4,top_30_35,ordinary,ordinary
"7,909",4,top_50_100,ordinary,ordinary
"7,915",4,top_10_15,top_10_15,outstanding
"7,931",8,top_10_15,top_10_15,outstanding
"7,935",1,top_50_100,ordinary,ordinary
"7,936",3,top_35_40,ordinary,ordinary
"7,939",10,top_10_15,top_10_15,outstanding
"7,940",1,top_50_100,ordinary,ordinary
