"id_user","count_we_usage","category","class","class2"
"10,663",57,top_5,top_5,outstanding
"10,668",15,top_10_15,top_10_15,outstanding
"10,672",24,top_5,top_5,outstanding
"10,679",4,top_50_100,ordinary,ordinary
"10,680",4,top_5_10,top_5_10,outstanding
"10,681",4,top_50_100,ordinary,ordinary
"10,682",8,top_5,top_5,outstanding
"10,683",1,top_50_100,ordinary,ordinary
"10,691",3,top_50_100,ordinary,ordinary
"10,693",1,top_50_100,ordinary,ordinary
"10,701",2,top_50_100,ordinary,ordinary
"10,707",4,top_50_100,ordinary,ordinary
"10,715",1,top_50_100,ordinary,ordinary
"10,716",1,top_25_30,ordinary,ordinary
"10,721",1,top_35_40,ordinary,ordinary
"10,727",1,top_50_100,ordinary,ordinary
"10,728",5,top_5_10,top_5_10,outstanding
"10,731",6,top_40_45,ordinary,ordinary
"10,733",10,top_5_10,top_5_10,outstanding
"10,734",6,top_10_15,top_10_15,outstanding
"10,735",5,top_35_40,ordinary,ordinary
"10,749",7,top_30_35,ordinary,ordinary
"10,762",1,top_50_100,ordinary,ordinary
"10,764",3,top_25_30,ordinary,ordinary
"10,765",3,top_45_50,ordinary,ordinary
"10,768",2,top_50_100,ordinary,ordinary
"10,773",4,top_15_20,ordinary,ordinary
"10,786",26,top_5,top_5,outstanding
"10,788",1,top_5_10,top_5_10,outstanding
"10,790",2,top_25_30,ordinary,ordinary
"10,792",1,top_5,top_5,outstanding
"10,797",5,top_50_100,ordinary,ordinary
"10,798",5,top_50_100,ordinary,ordinary
"10,801",8,top_5_10,top_5_10,outstanding
"10,807",4,top_15_20,ordinary,ordinary
"10,816",6,top_25_30,ordinary,ordinary
"10,821",7,top_25_30,ordinary,ordinary
"10,824",2,top_5_10,top_5_10,outstanding
"10,828",2,top_5_10,top_5_10,outstanding
"10,834",1,top_25_30,ordinary,ordinary
"10,836",1,top_50_100,ordinary,ordinary
"10,839",1,top_15_20,ordinary,ordinary
"10,844",1,top_15_20,ordinary,ordinary
"10,846",1,top_20_25,ordinary,ordinary
"10,848",1,top_45_50,ordinary,ordinary
"10,853",41,top_5_10,top_5_10,outstanding
"10,857",7,top_5,top_5,outstanding
"10,866",2,top_50_100,ordinary,ordinary
"10,877",11,top_15_20,ordinary,ordinary
"10,880",7,top_10_15,top_10_15,outstanding
"10,881",4,top_30_35,ordinary,ordinary
"10,883",2,top_10_15,top_10_15,outstanding
"10,888",11,top_5,top_5,outstanding
"10,898",3,top_50_100,ordinary,ordinary
"10,904",27,top_5,top_5,outstanding
"10,908",2,top_30_35,ordinary,ordinary
"10,925",4,top_15_20,ordinary,ordinary
"10,934",4,top_25_30,ordinary,ordinary
"10,950",4,top_50_100,ordinary,ordinary
"10,957",77,top_5,top_5,outstanding
"10,963",1,top_35_40,ordinary,ordinary
"10,964",1,top_5_10,top_5_10,outstanding
"10,965",15,top_5,top_5,outstanding
"10,967",3,top_5_10,top_5_10,outstanding
"10,969",18,top_5,top_5,outstanding
"10,970",10,top_5_10,top_5_10,outstanding
"10,972",57,top_5,top_5,outstanding
"10,978",3,top_45_50,ordinary,ordinary
"10,980",4,top_50_100,ordinary,ordinary
"10,982",2,top_45_50,ordinary,ordinary
"10,984",8,top_10_15,top_10_15,outstanding
"10,990",4,top_50_100,ordinary,ordinary
"10,997",4,top_20_25,ordinary,ordinary
"10,998",10,top_10_15,top_10_15,outstanding
"10,999",2,top_5_10,top_5_10,outstanding
"11,002",1,top_30_35,ordinary,ordinary
"11,003",1,top_40_45,ordinary,ordinary
"11,008",1,top_25_30,ordinary,ordinary
"11,011",3,top_5_10,top_5_10,outstanding
"11,020",1,top_50_100,ordinary,ordinary
"11,025",8,top_5_10,top_5_10,outstanding
"11,026",2,top_5_10,top_5_10,outstanding
"11,030",22,top_5_10,top_5_10,outstanding
"11,034",5,top_50_100,ordinary,ordinary
"11,037",6,top_10_15,top_10_15,outstanding
"11,038",1,top_10_15,top_10_15,outstanding
"11,040",1,top_50_100,ordinary,ordinary
"11,044",16,top_5,top_5,outstanding
"11,047",15,top_5_10,top_5_10,outstanding
"11,057",2,top_30_35,ordinary,ordinary
"11,064",6,top_25_30,ordinary,ordinary
"11,069",1,top_50_100,ordinary,ordinary
"11,076",4,top_35_40,ordinary,ordinary
"11,085",1,top_30_35,ordinary,ordinary
"11,092",13,top_5,top_5,outstanding
"11,093",11,top_10_15,top_10_15,outstanding
"11,094",1,top_50_100,ordinary,ordinary
"11,097",4,top_50_100,ordinary,ordinary
"11,102",1,top_50_100,ordinary,ordinary
"11,103",93,top_5,top_5,outstanding
"11,106",1,top_50_100,ordinary,ordinary
"11,108",16,top_5,top_5,outstanding
"11,109",39,top_5,top_5,outstanding
"11,111",14,top_15_20,ordinary,ordinary
"11,124",4,top_5,top_5,outstanding
"11,127",4,top_30_35,ordinary,ordinary
"11,128",1,top_50_100,ordinary,ordinary
"11,129",3,top_15_20,ordinary,ordinary
"11,143",6,top_10_15,top_10_15,outstanding
"11,146",3,top_50_100,ordinary,ordinary
"11,152",6,top_50_100,ordinary,ordinary
"11,155",1,top_10_15,top_10_15,outstanding
"11,156",2,top_20_25,ordinary,ordinary
"11,159",1,top_50_100,ordinary,ordinary
"11,162",3,top_10_15,top_10_15,outstanding
"11,166",1,top_50_100,ordinary,ordinary
"11,168",9,top_5,top_5,outstanding
"11,176",1,top_10_15,top_10_15,outstanding
"11,180",12,top_15_20,ordinary,ordinary
"11,183",10,top_50_100,ordinary,ordinary
"11,197",18,top_15_20,ordinary,ordinary
"11,200",16,top_5,top_5,outstanding
"11,205",1,top_40_45,ordinary,ordinary
"11,209",3,top_10_15,top_10_15,outstanding
"11,212",1,top_15_20,ordinary,ordinary
"11,216",7,top_5_10,top_5_10,outstanding
"11,217",1,top_30_35,ordinary,ordinary
"11,219",2,top_50_100,ordinary,ordinary
"11,224",1,top_30_35,ordinary,ordinary
"11,226",7,top_35_40,ordinary,ordinary
"11,234",1,top_50_100,ordinary,ordinary
"11,251",1,top_50_100,ordinary,ordinary
"11,260",1,top_50_100,ordinary,ordinary
"11,267",1,top_10_15,top_10_15,outstanding
"11,273",39,top_5,top_5,outstanding
"11,274",4,top_40_45,ordinary,ordinary
"11,278",3,top_5,top_5,outstanding
"11,283",1,top_50_100,ordinary,ordinary
"11,292",2,top_5_10,top_5_10,outstanding
"11,298",5,top_5,top_5,outstanding
"11,299",4,top_10_15,top_10_15,outstanding
"11,301",1,top_20_25,ordinary,ordinary
"11,303",2,top_5_10,top_5_10,outstanding
"11,306",1,top_45_50,ordinary,ordinary
"11,313",6,top_5,top_5,outstanding
"11,315",2,top_5_10,top_5_10,outstanding
"11,317",1,top_35_40,ordinary,ordinary
"11,321",1,top_45_50,ordinary,ordinary
"11,322",1,top_45_50,ordinary,ordinary
"11,324",2,top_20_25,ordinary,ordinary
"11,326",6,top_5_10,top_5_10,outstanding
