"id_user","count_they_usage","category","class","class2"
"49,197",1,top_25_30,ordinary,ordinary
"49,212",1,top_50_100,ordinary,ordinary
"49,220",4,top_50_100,ordinary,ordinary
"49,231",1,top_50_100,ordinary,ordinary
"49,235",2,top_50_100,ordinary,ordinary
"49,242",2,top_25_30,ordinary,ordinary
"49,251",30,top_5,top_5,outstanding
"49,267",7,top_35_40,ordinary,ordinary
"49,314",6,top_5_10,top_5_10,outstanding
"49,318",2,top_50_100,ordinary,ordinary
"49,324",1,top_50_100,ordinary,ordinary
"49,335",20,top_5,top_5,outstanding
"49,350",1,top_50_100,ordinary,ordinary
"49,357",1,top_50_100,ordinary,ordinary
"49,369",5,top_5,top_5,outstanding
"49,380",5,top_50_100,ordinary,ordinary
"49,382",2,top_30_35,ordinary,ordinary
"49,409",2,top_5,top_5,outstanding
"49,424",3,top_50_100,ordinary,ordinary
"49,428",1,top_50_100,ordinary,ordinary
"49,435",1,top_50_100,ordinary,ordinary
"49,437",2,top_50_100,ordinary,ordinary
"49,439",2,top_25_30,ordinary,ordinary
"49,440",1,top_15_20,ordinary,ordinary
"49,442",2,top_45_50,ordinary,ordinary
"49,446",1,top_35_40,ordinary,ordinary
"49,460",3,top_25_30,ordinary,ordinary
"49,469",4,top_40_45,ordinary,ordinary
"49,475",1,top_50_100,ordinary,ordinary
"49,483",1,top_50_100,ordinary,ordinary
"49,484",1,top_50_100,ordinary,ordinary
"49,498",2,top_40_45,ordinary,ordinary
"49,506",1,top_5_10,top_5_10,outstanding
"49,509",1,top_50_100,ordinary,ordinary
"49,516",1,top_50_100,ordinary,ordinary
"49,526",1,top_50_100,ordinary,ordinary
"49,535",2,top_15_20,ordinary,ordinary
"49,562",3,top_50_100,ordinary,ordinary
"49,565",3,top_50_100,ordinary,ordinary
"49,566",2,top_40_45,ordinary,ordinary
"49,581",2,top_10_15,top_10_15,outstanding
"49,592",2,top_50_100,ordinary,ordinary
"49,600",1,top_10_15,top_10_15,outstanding
"49,608",1,top_50_100,ordinary,ordinary
"49,626",1,top_5_10,top_5_10,outstanding
"49,629",282,top_5,top_5,outstanding
"49,642",1,top_50_100,ordinary,ordinary
"49,646",2,top_50_100,ordinary,ordinary
"49,650",1,top_35_40,ordinary,ordinary
"49,656",1,top_50_100,ordinary,ordinary
"49,661",1,top_50_100,ordinary,ordinary
"49,676",3,top_40_45,ordinary,ordinary
"49,701",1,top_5_10,top_5_10,outstanding
"49,716",1,top_50_100,ordinary,ordinary
"49,723",3,top_30_35,ordinary,ordinary
"49,733",2,top_50_100,ordinary,ordinary
"49,761",1,top_50_100,ordinary,ordinary
"49,787",3,top_20_25,ordinary,ordinary
"49,789",1,top_25_30,ordinary,ordinary
"49,801",2,top_35_40,ordinary,ordinary
"49,804",4,top_10_15,top_10_15,outstanding
"49,808",1,top_50_100,ordinary,ordinary
"49,811",2,top_15_20,ordinary,ordinary
"49,825",1,top_50_100,ordinary,ordinary
"49,831",2,top_15_20,ordinary,ordinary
"49,837",2,top_20_25,ordinary,ordinary
"49,841",1,top_50_100,ordinary,ordinary
"49,848",1,top_50_100,ordinary,ordinary
"49,849",1,top_50_100,ordinary,ordinary
"49,862",20,top_25_30,ordinary,ordinary
"49,863",1,top_35_40,ordinary,ordinary
"49,888",2,top_50_100,ordinary,ordinary
"49,893",2,top_15_20,ordinary,ordinary
"49,903",1,top_30_35,ordinary,ordinary
"49,925",1,top_50_100,ordinary,ordinary
"49,930",1,top_40_45,ordinary,ordinary
"49,940",1,top_50_100,ordinary,ordinary
"49,941",2,top_50_100,ordinary,ordinary
"49,949",2,top_25_30,ordinary,ordinary
"49,956",1,top_50_100,ordinary,ordinary
"49,959",1,top_35_40,ordinary,ordinary
"49,962",1,top_50_100,ordinary,ordinary
"49,971",3,top_15_20,ordinary,ordinary
"49,974",3,top_50_100,ordinary,ordinary
"49,975",1,top_50_100,ordinary,ordinary
"49,979",1,top_30_35,ordinary,ordinary
"49,994",1,top_35_40,ordinary,ordinary
"49,995",2,top_50_100,ordinary,ordinary
"50,004",3,top_10_15,top_10_15,outstanding
"50,010",1,top_50_100,ordinary,ordinary
"50,038",2,top_25_30,ordinary,ordinary
"50,046",3,top_20_25,ordinary,ordinary
"50,051",4,top_25_30,ordinary,ordinary
"50,063",2,top_50_100,ordinary,ordinary
"50,067",4,top_25_30,ordinary,ordinary
"50,073",2,top_50_100,ordinary,ordinary
"50,076",1,top_50_100,ordinary,ordinary
"50,083",1,top_45_50,ordinary,ordinary
"50,084",1,top_5,top_5,outstanding
"50,097",19,top_5,top_5,outstanding
"50,125",3,top_50_100,ordinary,ordinary
"50,140",1,top_50_100,ordinary,ordinary
"50,153",1,top_10_15,top_10_15,outstanding
"50,156",2,top_50_100,ordinary,ordinary
"50,158",1,top_10_15,top_10_15,outstanding
"50,164",1,top_50_100,ordinary,ordinary
"50,171",1,top_50_100,ordinary,ordinary
"50,183",3,top_5_10,top_5_10,outstanding
"50,185",1,top_25_30,ordinary,ordinary
"50,204",4,top_35_40,ordinary,ordinary
"50,205",1,top_50_100,ordinary,ordinary
"50,212",1,top_50_100,ordinary,ordinary
"50,214",1,top_40_45,ordinary,ordinary
"50,219",2,top_50_100,ordinary,ordinary
"50,230",4,top_25_30,ordinary,ordinary
"50,234",1,top_40_45,ordinary,ordinary
"50,239",1,top_50_100,ordinary,ordinary
"50,247",1,top_50_100,ordinary,ordinary
"50,251",7,top_50_100,ordinary,ordinary
"50,267",3,top_50_100,ordinary,ordinary
"50,285",1,top_45_50,ordinary,ordinary
"50,306",5,top_50_100,ordinary,ordinary
"50,308",2,top_50_100,ordinary,ordinary
"50,309",1,top_35_40,ordinary,ordinary
"50,316",2,top_40_45,ordinary,ordinary
"50,319",2,top_10_15,top_10_15,outstanding
"50,327",10,top_15_20,ordinary,ordinary
"50,330",1,top_30_35,ordinary,ordinary
"50,342",2,top_15_20,ordinary,ordinary
"50,347",6,top_5,top_5,outstanding
"50,351",3,top_50_100,ordinary,ordinary
"50,370",1,top_50_100,ordinary,ordinary
"50,373",2,top_30_35,ordinary,ordinary
"50,389",1,top_15_20,ordinary,ordinary
"50,391",1,top_50_100,ordinary,ordinary
"50,403",3,top_50_100,ordinary,ordinary
"50,414",1,top_40_45,ordinary,ordinary
"50,420",6,top_5_10,top_5_10,outstanding
"50,423",6,top_35_40,ordinary,ordinary
