"id_user","betweenness","closeness","clustering_coefficient","indegree","outdegree","class","class2"
"13,825",355.9189295114,0.2926538051,0.2142857164,6,4,top_5_10,outstanding
"6,912","7,663.9783908315",0.2887703851,0.1666666716,2,9,top_5_10,outstanding
"23,044","7,834.6512342447",0.2627066057,0.2142857164,6,3,top_5_10,outstanding
"18,560",0,0.2882782523,0.0714285746,0,7,top_10_15,outstanding
"9,553","2,684.7594274238",0.3297925076,0.3897058964,6,13,top_10_15,outstanding
"12,497","4,708.5233539225",0.3115258546,0.4363636374,5,8,top_10_15,outstanding
"18,451","12,596.0032077648",0.3044387788,0.2545454502,6,6,top_10_15,outstanding
"20,514","9,918.9515118189",0.3129493986,0.1549707651,5,17,top_10_15,outstanding
"18,855",65.5211994048,0.3050769735,0.380952388,5,4,top_10_15,outstanding
"16,196",96.0550254566,0.2714976972,0.2111111134,9,2,top_10_15,outstanding
"14,971",0,0.3061050141,0.1818181872,0,11,top_10_15,outstanding
"16,723",555.3324818353,0.3094352159,0.4333333373,3,9,top_10_15,outstanding
"25,859","1,250.2478528485",0.2643769515,0.190476194,6,1,top_10_15,outstanding
"14,488","27,065.3630972451",0.339852587,0.4130434692,6,20,top_10_15,outstanding
"17,160","4,936.9375197761",0.2921031174,0.6000000238,3,3,top_10_15,outstanding
"23,033","6,668.7091065981",0.310239158,0.3181818128,6,8,top_10_15,outstanding
"13,177","7,691.0508392458",0.2785953577,0.190476194,5,3,top_10_15,outstanding
"10,394",206.4717569331,0.3114216932,0.1777777821,2,9,top_10_15,outstanding
"9,172",0,0.3142413816,0.1785714328,0,8,top_10_15,outstanding
"10,351","16,440.419807609",0.2930589642,0.1555555612,8,6,top_10_15,outstanding
"6,853",0,0.2853205953,0.3333333433,1,4,top_10_15,outstanding
"11,093","9,442.6847717204",0.2991200462,0.1798418909,12,13,top_10_15,outstanding
"8,915",0,0.3133956805,0.25,0,9,top_10_15,outstanding
"8,465",0,0.2853117726,1,0,2,top_10_15,outstanding
"11,767","18,157.6923246153",0.3434619072,0.3315508068,15,23,top_10_15,outstanding
"28,580",0,0.2542308112,0,1,1,top_10_15,outstanding
"19,422","4,912.8660964678",0.2855303495,0.1263736337,10,6,top_10_15,outstanding
"13,887",0,0.2982388729,0.8333333135,2,3,top_10_15,outstanding
"14,720",11.7220728212,0.2721482001,0,1,2,top_10_15,outstanding
"9,964","10,115.0461883901",0.3362940497,0.401098907,3,14,top_10_15,outstanding
"16,936",472.8666027262,0.2906991261,0.200000003,4,8,top_10_15,outstanding
"20,931",0,0.2911534855,1,1,1,top_10_15,outstanding
"9,218","39,850.2858621775",0.3319079182,0.2695590258,11,31,top_10_15,outstanding
"13,175","14,553.7218453419",0.3340027254,0.4095238149,5,17,top_10_15,outstanding
"14,739","10,878.6780092722",0.3073116009,0.2352941185,7,14,top_10_15,outstanding
"14,025","7,565",0.3254140172,0.5777778029,2,9,top_10_15,outstanding
"12,950",75.8896615465,0.3031703665,0.1964285672,2,7,top_10_15,outstanding
"8,437",124.1672022435,0.2918834221,0.200000003,3,3,top_10_15,outstanding
"10,564","15,702.9232329964",0.3112551798,0.2087912112,3,13,top_10_15,outstanding
"22,928",594.6583498863,0.3020103761,0.5,3,6,top_10_15,outstanding
"7,299",0,0.2579162976,0.1666666716,0,3,top_10_15,outstanding
"14,120",0,0.2818682316,0.3333333433,1,4,top_10_15,outstanding
"8,210","7,611.3673317757",0.3002385404,0.5222222209,4,8,top_10_15,outstanding
"18,213",0,0,0,1,0,top_10_15,outstanding
"11,411","1,946.6312908276",0.3118387572,0.3000000119,6,12,top_10_15,outstanding
"17,172","12,834.5383928982",0.3415474881,0.4309523702,7,16,top_10_15,outstanding
"20,169",72.7491886329,0.2793835452,0.190476194,4,5,top_10_15,outstanding
"6,732",0,0.2575472741,0.5,0,2,top_10_15,outstanding
"9,397",0,0.293287999,0.3035714328,1,8,top_10_15,outstanding
"11,592",382.3905609605,0.3210395698,0.4090909064,1,10,top_10_15,outstanding
"10,376",154.655244256,0.3328568365,0.4818181694,2,11,top_10_15,outstanding
"10,445","6,127.7469358815",0.3416477148,0.4190476239,5,18,top_10_15,outstanding
"14,415",0,0.2981378384,0.200000003,0,10,top_10_15,outstanding
"23,656",322.938790641,0.2882342019,0.2380952388,6,2,top_10_15,outstanding
"25,485","14,684.8059738605",0.3125503356,0.2333333343,6,11,top_10_15,outstanding
"13,000",0,0,0,1,0,top_10_15,outstanding
"19,227",0,0.3218430506,0.3571428657,0,8,top_10_15,outstanding
"21,474","43,408.4082244664",0.2891648556,0.2417582422,7,10,top_10_15,outstanding
"14,464",39.0791042433,0.3264862591,0.4615384638,2,14,top_10_15,outstanding
"9,163","8,519.1974393461",0.300374097,0.347222209,3,8,top_10_15,outstanding
"12,751","7,577.6914458672",0.2383194309,0,1,4,top_10_15,outstanding
"18,135",54.0253036019,0.3176671214,0.6666666865,2,6,top_10_15,outstanding
"6,746","12,922.3337242321",0.3148536272,0.3106060624,4,11,top_10_15,outstanding
"13,280",0,0.2931956946,0.4499999881,1,5,top_10_15,outstanding
"14,460",0,0,0.5,2,0,top_10_15,outstanding
"18,288",25.5837674013,0.2984816452,0.5833333135,2,4,top_10_15,outstanding
"26,121",0,0,1,2,0,top_10_15,outstanding
"15,338",97.7897755464,0.3016777871,0,2,1,top_10_15,outstanding
"11,969",0,0,0.3333333433,3,0,top_10_15,outstanding
"8,593",86.7665628319,0.2884663033,0.400000006,3,3,top_10_15,outstanding
"17,823","1,247.691072708",0.2936873305,0.2857142985,3,7,top_10_15,outstanding
"7,226",0,0.2888957816,1,2,2,top_10_15,outstanding
"16,152",0,0.3101198402,0.6666666865,0,6,top_10_15,outstanding
"8,493",23.9875749125,0.302658088,0.5,2,4,top_10_15,outstanding
"8,732",197.5877421323,0.3050569894,0.277777791,3,8,top_10_15,outstanding
"12,124","1,157.8742141732",0.2862323294,0.25,2,3,top_10_15,outstanding
"28,063",0,0.2537313433,0,0,1,ordinary,ordinary
"16,881","10,643.277881657",0.3026974326,0.091911763,11,7,ordinary,ordinary
"18,125",0,0.3195444879,0.3636363745,1,11,ordinary,ordinary
"9,827",833.1884516957,0.2627214262,0.1000000015,5,2,ordinary,ordinary
"8,369",0,0.2777512817,0.1964285672,1,8,ordinary,ordinary
"13,715","2,261.4310816531",0.3143011406,0.25,1,4,ordinary,ordinary
"12,954",65.4828170775,0.2706299396,0,1,2,ordinary,ordinary
"13,010","16,652.8722147522",0.3091476367,0.2348484844,8,7,ordinary,ordinary
"15,936",0,0.3099800399,0.5333333611,0,6,ordinary,ordinary
"6,939",0,0.2615531473,0,0,2,ordinary,ordinary
"17,729",0,0.3201787556,0.696428597,2,7,ordinary,ordinary
"8,836",0,0.2922391618,0.5,0,2,ordinary,ordinary
"7,850",0,0.274954253,0.5,0,2,ordinary,ordinary
"17,415",0,0.3059441708,0.4499999881,0,5,ordinary,ordinary
"8,746",0,0.3021732079,0.25,1,4,ordinary,ordinary
"24,800",1.5,1,0,2,1,ordinary,ordinary
"15,923",48.335444373,0.3034864777,0.6499999762,1,4,ordinary,ordinary
"13,406",105.0215126191,0.2557386052,0.1666666716,3,1,ordinary,ordinary
"11,374",0,0.2641819832,0.6666666865,2,2,ordinary,ordinary
"18,237",199.8286458999,0.3160502206,0.5090909004,3,9,ordinary,ordinary
"13,603",37.4503724736,0.3031762562,0.4333333373,2,5,ordinary,ordinary
"12,845","1,742.9037401131",0.301619171,0.25,3,12,ordinary,ordinary
"12,664",421.7081541691,0.2935762466,0.375,4,5,ordinary,ordinary
"12,758","2,927.3153740306",0.2968889456,0.3666666746,2,6,ordinary,ordinary
"14,401",97.9065975544,0.3014629726,0.5,1,5,ordinary,ordinary
"10,773","7,731.5433485021",0.2885735531,0,2,2,ordinary,ordinary
"14,314",0,0.3173306095,0.4107142985,1,8,ordinary,ordinary
