"id_user","betweenness","closeness","clustering_coefficient","indegree","outdegree","class","class2"
"33,001","10,629.3824117984",0.3358783483,0.267267257,4,34,top_5,outstanding
"31,161","30,062.6125257304",0.3333964886,0.2887989283,17,26,top_5,outstanding
"47,200","32,788.2637758955",0.2967230622,0.0697479025,29,8,top_5,outstanding
"28,962",35.9584060972,0.2639104134,0.25,3,3,top_5,outstanding
"31,034","1,463.8821819989",0.3191849568,0.5164835453,3,12,top_5,outstanding
"43,229","104,961.3742490908",0.33589972,0.1724043787,26,41,top_5,outstanding
"39,953","38,518.2845586771",0.3183188616,0.1681681722,25,17,top_5,outstanding
"32,112","46,338.6482837656",0.3418377258,0.2935435474,7,32,top_5,outstanding
"36,723","20,821.1081390385",0.3326611633,0.3549783528,5,19,top_5,outstanding
"38,216","19,875.9329404064",0.2966063603,0.0869565234,19,7,top_5,outstanding
"36,497","15,798.4978152154",0.3272580745,0.3616666794,9,19,top_5,outstanding
"43,515",0,0,0.068877548,49,0,top_5,outstanding
"30,988","31,113.2092359078",0.3347070758,0.1873265505,29,20,top_5,outstanding
"38,860","12,966.9828695369",0.3164678377,0.3079710007,12,13,top_5,outstanding
"40,637","11,780.6716418644",0.3110783736,0.404411763,7,12,top_5,outstanding
"46,161","12,726.5424591254",0.2911106209,0.1315789521,17,5,top_5_10,outstanding
"45,967","36,197.8102529392",0.311592492,0.1335034072,42,10,top_5_10,outstanding
"31,996","24,978.4437838084",0.3215765107,0.1476190537,4,18,top_5_10,outstanding
"50,420","70,468.3126814007",0.3062242589,0.1902173907,7,21,top_5_10,outstanding
"33,246",0,0.295782526,0.1209150329,1,18,top_5_10,outstanding
"29,597",179.1404117842,0.2460269376,0.0178571437,7,1,top_5_10,outstanding
"29,032","19,549.0852576188",0.3113168603,0.1149425283,23,10,top_5_10,outstanding
"36,638","10,285.5230201985",0.297057003,0.4499999881,1,5,top_5_10,outstanding
"31,977","4,688.8570216127",0.3001819629,0.2166666687,16,7,top_5_10,outstanding
"40,296","13,416.127391223",0.3271769445,0.3115941882,10,21,top_5_10,outstanding
"38,070","3,700.6776165595",0.3114638032,0.4571428597,3,14,top_5_10,outstanding
"31,948","30,808.8239770952",0.3312417644,0.4312169254,12,21,top_5_10,outstanding
