"display_name","count","id_user","category","class","class2"
Arwil,1,"7,934",top_50_100,ordinary,ordinary
user3407,1,"15,072",top_50_100,ordinary,ordinary
"51102",1,"22,874",top_50_100,ordinary,ordinary
SmokeyVW,1,"11,474",top_50_100,ordinary,ordinary
RKhan,1,"24,024",top_50_100,ordinary,ordinary
putnampp,1,"16,235",top_50_100,ordinary,ordinary
user3163829,1,"21,850",top_50_100,ordinary,ordinary
Rebecca,1,"22,469",top_50_100,ordinary,ordinary
glarue,1,"10,534",top_50_100,ordinary,ordinary
user1155386,1,"9,249",top_50_100,ordinary,ordinary
user3234810,1,"20,234",top_50_100,ordinary,ordinary
user1909257,1,"8,440",top_50_100,ordinary,ordinary
Bugster,1,"7,005",top_5_10,top_5_10,outstanding
Giuliano,1,"17,560",top_50_100,ordinary,ordinary
R.Hull,1,"22,603",top_50_100,ordinary,ordinary
Basper82,1,"16,497",top_50_100,ordinary,ordinary
The.Blue.Shrimp,1,"10,318",top_50_100,ordinary,ordinary
Virginia,1,"26,239",top_50_100,ordinary,ordinary
Nick_Tsaftaridis,1,"11,923",top_5_10,top_5_10,outstanding
Sbechet,1,"11,312",top_50_100,ordinary,ordinary
user3760,1,"9,111",top_50_100,ordinary,ordinary
VAR121,1,"8,016",top_50_100,ordinary,ordinary
man,1,"20,748",top_50_100,ordinary,ordinary
Abijah,1,"20,804",top_50_100,ordinary,ordinary
dhubris,1,"8,226",top_50_100,ordinary,ordinary
Varekai,1,"16,126",top_50_100,ordinary,ordinary
Peter123,1,"22,037",top_50_100,ordinary,ordinary
Perceptioner,1,"16,928",top_50_100,ordinary,ordinary
AksaK,1,"21,677",top_5_10,top_5_10,outstanding
user14860,1,"14,814",top_50_100,ordinary,ordinary
Oli,1,"12,343",top_50_100,ordinary,ordinary
rj60001,1,"24,918",top_50_100,ordinary,ordinary
myself,1,"12,360",top_50_100,ordinary,ordinary
Biginer,1,"21,589",top_50_100,ordinary,ordinary
fermats_last_nerve,1,"11,427",top_50_100,ordinary,ordinary
jleeothon,1,"11,944",top_50_100,ordinary,ordinary
Eftekhari,1,"12,136",top_5,top_5,outstanding
user19270,1,"19,150",top_50_100,ordinary,ordinary
PathoNomadic,1,"14,973",top_50_100,ordinary,ordinary
user30455,1,"26,245",top_50_100,ordinary,ordinary
user45808,1,"25,028",top_50_100,ordinary,ordinary
suvidu,1,"8,586",top_5,top_5,outstanding
genius,1,"21,937",top_50_100,ordinary,ordinary
Ria,1,"21,524",top_5,top_5,outstanding
Someone,1,"9,128",top_50_100,ordinary,ordinary
user27813,1,"23,672",top_50_100,ordinary,ordinary
sgyf,1,"11,450",top_50_100,ordinary,ordinary
Kanj,1,"20,013",top_50_100,ordinary,ordinary
MikeF,1,"13,462",top_50_100,ordinary,ordinary
Moshe,1,"13,947",top_50_100,ordinary,ordinary
Amin,1,"17,944",top_50_100,ordinary,ordinary
johan,1,"24,624",top_50_100,ordinary,ordinary
yaymuffins,1,"21,776",top_50_100,ordinary,ordinary
dudethisismyemail,1,"28,416",top_50_100,ordinary,ordinary
Shummy,1,"8,087",top_50_100,ordinary,ordinary
user2990508,1,"22,617",top_50_100,ordinary,ordinary
GeekCat,1,"11,407",top_50_100,ordinary,ordinary
Fomite,1,"6,763",top_5,top_5,outstanding
user27221,1,"9,327",top_5,top_5,outstanding
Koekje,1,"24,643",top_50_100,ordinary,ordinary
violadaprile,1,"8,808",top_5,top_5,outstanding
KnotweedJo,1,"27,695",top_50_100,ordinary,ordinary
Spartacus9,1,"24,909",top_5,top_5,outstanding
Lesbihonest,1,"9,225",top_50_100,ordinary,ordinary
arcyqwerty,1,"6,774",top_5,top_5,outstanding
Jantomedes,1,"9,831",top_50_100,ordinary,ordinary
sharptooth,1,"7,129",top_5,top_5,outstanding
Jennser,1,"21,655",top_50_100,ordinary,ordinary
user25375,1,"21,874",top_50_100,ordinary,ordinary
Olly,1,"14,428",top_50_100,ordinary,ordinary
Mitten,1,"8,853",top_50_100,ordinary,ordinary
user16831,1,"15,828",top_50_100,ordinary,ordinary
user5034361,1,"15,976",top_50_100,ordinary,ordinary
inferoanteriorly,1,"19,684",top_50_100,ordinary,ordinary
masoug,1,"10,915",top_50_100,ordinary,ordinary
Ankit,1,"13,081",top_50_100,ordinary,ordinary
AndrewMk,1,"22,802",top_50_100,ordinary,ordinary
user132314,1,"7,606",top_50_100,ordinary,ordinary
UriP,1,"9,713",top_50_100,ordinary,ordinary
user16406,1,"16,028",top_50_100,ordinary,ordinary
Abram,1,"15,924",top_50_100,ordinary,ordinary
Microbiologist,1,"14,127",top_50_100,ordinary,ordinary
me2,1,"9,102",top_50_100,ordinary,ordinary
pwghost,1,"18,494",top_50_100,ordinary,ordinary
Brendon,1,"9,262",no_participation,ordinary,ordinary
esi72,1,"18,694",top_50_100,ordinary,ordinary
emi,1,"11,916",top_50_100,ordinary,ordinary
anvSnMusater,1,"9,509",top_50_100,ordinary,ordinary
Rayan,1,"11,196",top_50_100,ordinary,ordinary
GeorgeTsak,1,"25,627",top_50_100,ordinary,ordinary
Gwenn,1,"16,806",top_5,top_5,outstanding
Griffin,1,"10,688",no_participation,ordinary,ordinary
Hanuman,1,"7,946",top_50_100,ordinary,ordinary
Claudio,1,"18,190",top_50_100,ordinary,ordinary
khhsocratica,1,"9,715",top_50_100,ordinary,ordinary
Nerrolken,1,"10,782",top_5,top_5,outstanding
Katrina,1,"22,646",top_50_100,ordinary,ordinary
user26702,1,"22,791",top_50_100,ordinary,ordinary
user101184,1,"18,449",top_50_100,ordinary,ordinary
xelo747,1,"14,448",top_5,top_5,outstanding
Navyguymarko,1,"24,841",top_50_100,ordinary,ordinary
Julianne,1,"18,612",top_50_100,ordinary,ordinary
Atticus283blink,1,"20,590",top_50_100,ordinary,ordinary
Kidan,1,"25,559",top_50_100,ordinary,ordinary
Muze,1,"18,643",top_5,top_5,outstanding
Krithi.S,1,"13,099",top_50_100,ordinary,ordinary
Gugg,1,"13,076",top_50_100,ordinary,ordinary
user3061879,1,"13,366",top_50_100,ordinary,ordinary
Sudachi,1,"20,074",top_5,top_5,outstanding
Runa,1,"17,384",top_50_100,ordinary,ordinary
user5182,1,"10,202",top_50_100,ordinary,ordinary
user22406,1,"11,456",top_50_100,ordinary,ordinary
user27247,1,"23,527",top_50_100,ordinary,ordinary
prishila,1,"16,799",top_50_100,ordinary,ordinary
Synaptic_Pik,1,"17,720",top_50_100,ordinary,ordinary
back2dos,1,"7,021",top_5,top_5,outstanding
daveid,1,"22,101",top_50_100,ordinary,ordinary
Loogai,1,"18,773",top_50_100,ordinary,ordinary
smileandbegin,1,"13,160",top_50_100,ordinary,ordinary
A.P,1,"22,087",top_50_100,ordinary,ordinary
Jozurcrunch,1,"22,238",top_50_100,ordinary,ordinary
user4352158,1,"14,391",top_50_100,ordinary,ordinary
Ram,1,"18,094",no_participation,ordinary,ordinary
user2679447,1,"13,335",top_50_100,ordinary,ordinary
Ksims,1,"15,092",top_50_100,ordinary,ordinary
AKV,1,"28,596",top_50_100,ordinary,ordinary
Vincent,1,"12,584",no_participation,ordinary,ordinary
Jarry,1,"26,047",top_50_100,ordinary,ordinary
tesgoe,1,"19,343",top_50_100,ordinary,ordinary
northcarolinaalgae,1,"28,345",top_50_100,ordinary,ordinary
stords,1,"10,672",top_5,top_5,outstanding
user2030378,1,"13,377",top_50_100,ordinary,ordinary
Wesley,1,"8,814",no_participation,ordinary,ordinary
Qbik,1,"8,493",top_10_15,top_10_15,outstanding
Anake,1,"7,226",top_10_15,top_10_15,outstanding
senshin,1,"8,593",top_10_15,top_10_15,outstanding
trex005,1,"10,504",top_15_20,ordinary,ordinary
user774025,1,"7,615",top_10_15,top_10_15,outstanding
user17496,1,"16,881",top_15_20,ordinary,ordinary
Artelius,1,"26,121",top_10_15,top_10_15,outstanding
user60180,1,"15,356",top_50_100,ordinary,ordinary
starsplusplus,1,"13,715",top_15_20,ordinary,ordinary
Kozuch,1,"10,304",top_15_20,ordinary,ordinary
NocTurn,1,"14,593",top_50_100,ordinary,ordinary
user3733086,1,"23,409",top_50_100,ordinary,ordinary
mHurley,1,"16,114",top_15_20,ordinary,ordinary
Blundell,1,"7,847",top_15_20,ordinary,ordinary
Macond,1,"8,020",top_15_20,ordinary,ordinary
Xqua,1,"19,063",top_10_15,top_10_15,outstanding
leo,1,"6,996",top_10_15,top_10_15,outstanding
Brenton,1,"18,135",top_10_15,top_10_15,outstanding
hoodlamic1,1,"17,729",top_15_20,ordinary,ordinary
AstroMax,1,"16,485",top_15_20,ordinary,ordinary
chauxvive,1,"16,785",top_15_20,ordinary,ordinary
Him,1,"17,415",top_15_20,ordinary,ordinary
sheep,1,"9,684",top_50_100,ordinary,ordinary
Pedery,1,"6,821",top_15_20,ordinary,ordinary
user1833028,1,"12,405",top_15_20,ordinary,ordinary
shnisaka,1,"8,746",top_15_20,ordinary,ordinary
Stevo,1,"15,026",top_15_20,ordinary,ordinary
Hooked,1,"7,449",top_15_20,ordinary,ordinary
agemO,1,"10,438",top_15_20,ordinary,ordinary
Elise,1,"20,495",top_50_100,ordinary,ordinary
wingsfan1340,1,"16,872",top_50_100,ordinary,ordinary
PiQ,1,"21,210",top_50_100,ordinary,ordinary
