"display_name","count","id_user","category","class","class2"
"4C0G",1,"44,031",top_45_50,ordinary,ordinary
jimrandomh,1,"30,028",top_45_50,ordinary,ordinary
user4117,1,"31,433",top_45_50,ordinary,ordinary
anarchy8,1,"35,154",top_45_50,ordinary,ordinary
user4838,1,"31,998",top_45_50,ordinary,ordinary
user97462,1,"35,944",top_45_50,ordinary,ordinary
user16060,1,"36,703",top_45_50,ordinary,ordinary
Denatured,1,"35,368",top_45_50,ordinary,ordinary
jasnoor,1,"43,148",top_45_50,ordinary,ordinary
user8005,1,"30,310",top_45_50,ordinary,ordinary
m1clee,1,"41,359",top_45_50,ordinary,ordinary
Navysubgirl,1,"40,616",top_45_50,ordinary,ordinary
user8697,1,"33,307",top_45_50,ordinary,ordinary
daveid,1,"39,212",top_50_100,ordinary,ordinary
Zeyuan,1,"42,039",top_50_100,ordinary,ordinary
l1zzy23,1,"45,701",top_50_100,ordinary,ordinary
newton,1,"33,848",top_50_100,ordinary,ordinary
user2985955,1,"40,573",top_50_100,ordinary,ordinary
bela83,1,"32,442",top_50_100,ordinary,ordinary
Bulawa,1,"32,481",top_50_100,ordinary,ordinary
babu,1,"36,892",top_50_100,ordinary,ordinary
Stuff,1,"42,045",top_50_100,ordinary,ordinary
ahmad,1,"45,071",top_50_100,ordinary,ordinary
student123,1,"39,271",top_50_100,ordinary,ordinary
chocoly,1,"45,431",top_50_100,ordinary,ordinary
Krateng,1,"47,567",top_50_100,ordinary,ordinary
Pi.Lilac,1,"54,506",top_50_100,ordinary,ordinary
cartmanbrahhhhh,1,"55,240",top_50_100,ordinary,ordinary
juliodesa,1,"45,422",top_50_100,ordinary,ordinary
FinlandRules,1,"33,411",top_50_100,ordinary,ordinary
Arn_kap,1,"44,220",top_50_100,ordinary,ordinary
At0micCyb0rg,1,"38,400",top_50_100,ordinary,ordinary
user5420,1,"32,474",top_50_100,ordinary,ordinary
HighEnergy,1,"43,946",top_50_100,ordinary,ordinary
Uffe,1,"32,170",top_50_100,ordinary,ordinary
user2804925,1,"40,285",top_50_100,ordinary,ordinary
"1Q86",1,"32,144",top_50_100,ordinary,ordinary
"1111",1,"44,800",top_50_100,ordinary,ordinary
kshae8,1,"41,306",top_50_100,ordinary,ordinary
Nanna,1,"56,053",top_50_100,ordinary,ordinary
Te55eract,1,"54,630",top_50_100,ordinary,ordinary
Knox777,1,"48,536",top_50_100,ordinary,ordinary
user162485,1,"33,036",top_50_100,ordinary,ordinary
user3904,1,"31,256",top_50_100,ordinary,ordinary
Ds.109,1,"31,062",top_50_100,ordinary,ordinary
DoubtExpert,1,"54,433",top_50_100,ordinary,ordinary
querambique,1,"39,877",top_50_100,ordinary,ordinary
Rani,1,"40,167",top_50_100,ordinary,ordinary
Sutekh,1,"39,487",top_50_100,ordinary,ordinary
CommandoGeek,1,"42,718",top_50_100,ordinary,ordinary
NF7,1,"38,738",top_50_100,ordinary,ordinary
user109992,1,"35,259",top_50_100,ordinary,ordinary
user21150,1,"38,879",top_50_100,ordinary,ordinary
user5475,1,"32,519",top_50_100,ordinary,ordinary
SeaCat,1,"38,293",top_50_100,ordinary,ordinary
Raegdan,1,"36,695",top_50_100,ordinary,ordinary
user3889649,1,"37,100",top_50_100,ordinary,ordinary
elaine,1,"36,564",top_50_100,ordinary,ordinary
MrCMedlin,1,"33,722",top_50_100,ordinary,ordinary
user3754535,1,"48,167",top_50_100,ordinary,ordinary
chemlove29310,1,"39,371",top_50_100,ordinary,ordinary
cl10k,1,"40,900",top_50_100,ordinary,ordinary
mahos,1,"30,333",top_50_100,ordinary,ordinary
user99364,1,"40,302",top_50_100,ordinary,ordinary
buckminst,1,"30,021",top_5,top_5,outstanding
camerobn,1,"39,751",top_50_100,ordinary,ordinary
DefinitelyNotAPlesiosaur,1,"40,274",top_50_100,ordinary,ordinary
Regie,1,"29,577",top_50_100,ordinary,ordinary
JeannaT,1,"35,337",top_50_100,ordinary,ordinary
aazz20,1,"40,317",top_50_100,ordinary,ordinary
CowperKettle,1,"33,115",top_5,top_5,outstanding
aaab,1,"30,274",top_50_100,ordinary,ordinary
user2561,1,"30,991",top_50_100,ordinary,ordinary
Yumnam_G,1,"38,978",top_50_100,ordinary,ordinary
pigeon,1,"38,930",top_50_100,ordinary,ordinary
Arcuvia,1,"48,629",top_50_100,ordinary,ordinary
TheLostGuardian0,1,"54,057",top_50_100,ordinary,ordinary
user41388,1,"51,420",top_50_100,ordinary,ordinary
ghazi,1,"52,993",top_50_100,ordinary,ordinary
Erol,1,"56,157",top_50_100,ordinary,ordinary
user16139,1,"36,760",top_50_100,ordinary,ordinary
lkR,1,"39,633",top_50_100,ordinary,ordinary
Atharva,1,"39,986",top_50_100,ordinary,ordinary
Corvinus,1,"40,440",top_50_100,ordinary,ordinary
kadabrium,1,"36,599",top_50_100,ordinary,ordinary
user2232,1,"30,732",top_50_100,ordinary,ordinary
cgupta2727,1,"40,469",top_50_100,ordinary,ordinary
Riggycat,1,"54,085",top_50_100,ordinary,ordinary
jimpix,1,"45,142",top_50_100,ordinary,ordinary
AVyas,1,"40,945",top_50_100,ordinary,ordinary
Crimson-Ruby,1,"53,695",top_50_100,ordinary,ordinary
MarcoXerox,1,"39,223",top_50_100,ordinary,ordinary
Uriah,1,"55,854",top_50_100,ordinary,ordinary
surabhii,1,"49,888",top_50_100,ordinary,ordinary
ComputerCraftr,1,"55,983",top_50_100,ordinary,ordinary
CANACANA,1,"40,180",top_50_100,ordinary,ordinary
user1723,1,"30,306",top_50_100,ordinary,ordinary
Tlwolf,1,"35,428",top_50_100,ordinary,ordinary
Sushifish,1,"45,883",top_50_100,ordinary,ordinary
user115862,1,"31,719",top_50_100,ordinary,ordinary
JST,1,"32,603",top_50_100,ordinary,ordinary
user14537,1,"35,675",top_50_100,ordinary,ordinary
Mathquestion-eer,1,"39,169",top_50_100,ordinary,ordinary
Brayton,1,"33,973",top_50_100,ordinary,ordinary
DBTKNL,1,"48,198",top_50_100,ordinary,ordinary
Pearu,1,"42,529",top_50_100,ordinary,ordinary
Tlama,1,"53,582",top_50_100,ordinary,ordinary
leadgame,1,"47,093",top_50_100,ordinary,ordinary
bdbdbd,1,"43,651",top_50_100,ordinary,ordinary
Honwang,1,"45,330",top_50_100,ordinary,ordinary
Peregrine,1,"38,333",top_50_100,ordinary,ordinary
CCR,1,"31,847",top_5,top_5,outstanding
Goocholplex,1,"31,818",top_50_100,ordinary,ordinary
GanguDas,1,"38,882",top_50_100,ordinary,ordinary
user47568,1,"32,758",top_50_100,ordinary,ordinary
sapir,1,"49,972",top_50_100,ordinary,ordinary
francesca,1,"34,974",top_50_100,ordinary,ordinary
我叫叶莎,1,"40,199",top_50_100,ordinary,ordinary
InquisitiveCheese,1,"34,805",top_50_100,ordinary,ordinary
user44545,1,"54,518",top_50_100,ordinary,ordinary
Roshan,1,"29,758",top_50_100,ordinary,ordinary
user3063183,1,"34,262",top_50_100,ordinary,ordinary
ycY,1,"54,770",top_50_100,ordinary,ordinary
user41056,1,"51,096",top_50_100,ordinary,ordinary
Mamun,1,"54,200",top_50_100,ordinary,ordinary
Rej,1,"51,008",top_50_100,ordinary,ordinary
EdwardHD,1,"37,727",top_50_100,ordinary,ordinary
steveorg,1,"43,733",top_50_100,ordinary,ordinary
JQQ,1,"53,018",top_50_100,ordinary,ordinary
TheRWS96,1,"49,118",top_50_100,ordinary,ordinary
Zara,1,"36,436",top_50_100,ordinary,ordinary
ILoveJesus,1,"48,463",top_50_100,ordinary,ordinary
NoobCoder,1,"35,795",top_50_100,ordinary,ordinary
Raf,1,"35,813",top_50_100,ordinary,ordinary
gustavoreche,1,"50,616",top_50_100,ordinary,ordinary
Sofiko,1,"51,984",top_50_100,ordinary,ordinary
Pink_NinjaTurtle,1,"52,496",top_50_100,ordinary,ordinary
lemos,1,"48,256",top_50_100,ordinary,ordinary
Andreade,1,"46,008",top_50_100,ordinary,ordinary
WooTangClan,1,"39,335",top_50_100,ordinary,ordinary
