"id_user","entropy","layer_1","layer_2","layer_3","layer_4","class","class2"
"12,458",0,0,0,1,0,ordinary,ordinary
"12,460",0,0,1,0,1,ordinary,ordinary
"12,462",0,0,0,0,1,ordinary,ordinary
"12,463",0.6931471806,1,0,0,2,ordinary,ordinary
"12,470",1.3296613489,2,2,0,3,ordinary,ordinary
"12,473",0,1,0,0,0,ordinary,ordinary
"12,477",0,0,0,0,3,ordinary,ordinary
"12,479",9.7972476173,61,83,118,92,top_5,outstanding
"12,481",0,0,1,1,0,ordinary,ordinary
"12,486",0,0,1,1,0,ordinary,ordinary
"12,490",0.6931471806,0,0,1,2,ordinary,ordinary
"12,491",1.0397207708,0,0,4,2,top_10_15,outstanding
"12,492",0,0,2,0,2,ordinary,ordinary
"12,495",0.6365141683,0,0,3,0,ordinary,ordinary
"12,497",3.9278503211,3,5,6,3,top_10_15,outstanding
"12,498",0.6931471806,0,1,0,2,ordinary,ordinary
"12,499",4.4949453647,4,5,6,4,ordinary,ordinary
"12,501",2.0150297167,3,4,11,4,ordinary,ordinary
"12,502",5.0714270045,3,9,12,16,top_10_15,outstanding
"12,503",1.7917594692,0,9,6,0,ordinary,ordinary
"12,504",0,1,0,1,0,ordinary,ordinary
"12,506",1.3862943611,0,8,4,0,ordinary,ordinary
"12,508",5.4820234113,5,4,9,13,top_10_15,outstanding
"12,509",0,0,0,2,2,ordinary,ordinary
"12,510",0.6365141683,3,1,0,1,ordinary,ordinary
"12,512",0.6931471806,1,0,2,0,ordinary,ordinary
"12,513",0,0,0,0,1,ordinary,ordinary
"12,514",2.8337387456,3,1,3,3,ordinary,ordinary
"12,515",3.3423058638,4,1,5,2,ordinary,ordinary
"12,518",0,3,0,3,3,ordinary,ordinary
"12,521",0,0,1,0,0,ordinary,ordinary
"12,524",0.6931471806,0,0,5,10,ordinary,ordinary
"12,525",0,0,1,0,0,ordinary,ordinary
"12,526",0.4505612089,6,2,2,1,ordinary,ordinary
"12,528",6.6561341041,7,16,28,14,top_5,outstanding
"12,529",0,0,1,0,0,ordinary,ordinary
"12,535",1.6914343363,3,2,1,5,ordinary,ordinary
"12,537",6.7000641266,7,9,9,5,top_5,outstanding
"12,539",5.6676072151,14,15,13,3,top_5_10,outstanding
"12,541",0,0,0,1,0,ordinary,ordinary
"12,546",0,0,5,5,0,ordinary,ordinary
"12,548",0.6931471806,0,1,2,0,ordinary,ordinary
"12,550",0,1,1,1,0,ordinary,ordinary
"12,551",1.3862943611,2,0,0,2,ordinary,ordinary
"12,553",0,2,0,0,2,ordinary,ordinary
"12,555",1.3862943611,2,1,2,1,ordinary,ordinary
"12,559",0,1,0,0,0,ordinary,ordinary
"12,560",0.6931471806,0,2,0,4,ordinary,ordinary
"12,562",0.6931471806,0,2,0,4,ordinary,ordinary
"12,564",2.0652832886,2,1,8,6,ordinary,ordinary
"12,569",0,3,3,3,0,ordinary,ordinary
"12,572",0.6931471806,0,1,1,2,top_10_15,outstanding
"12,573",0,0,1,0,0,ordinary,ordinary
"12,575",0,1,0,1,1,ordinary,ordinary
"12,576",0.6931471806,0,0,2,0,ordinary,ordinary
"12,577",0.6931471806,0,6,0,0,ordinary,ordinary
"12,578",1.2554823252,0,3,8,0,ordinary,ordinary
"12,582",0.6931471806,0,0,2,1,ordinary,ordinary
"12,586",0,1,0,0,0,ordinary,ordinary
"12,587",0,0,0,0,1,ordinary,ordinary
"12,588",1.3862943611,1,2,2,1,ordinary,ordinary
"12,594",9.5645964049,71,50,85,81,top_5,outstanding
"12,596",6.6528997757,17,10,17,29,top_5,outstanding
"12,599",0,1,0,1,1,ordinary,ordinary
"12,600",0,0,3,0,0,ordinary,ordinary
"12,601",2.1579635655,1,4,3,9,ordinary,ordinary
"12,604",0,0,2,2,0,ordinary,ordinary
"12,605",1.7917594692,1,1,2,3,top_5,outstanding
"12,606",0,0,0,1,0,ordinary,ordinary
"12,607",0,0,1,0,2,ordinary,ordinary
"12,609",0,0,0,1,1,ordinary,ordinary
"12,614",0,0,0,1,1,ordinary,ordinary
"12,615",7.3324609016,43,33,54,32,top_5,outstanding
"12,617",2.5721146737,2,2,6,3,ordinary,ordinary
"12,619",1.9661755171,5,4,6,3,top_10_15,outstanding
"12,620",0.6931471806,0,2,0,4,ordinary,ordinary
"12,621",1.0986122887,0,2,1,3,ordinary,ordinary
"12,622",0,0,2,0,0,ordinary,ordinary
"12,623",0.6615632382,0,5,2,8,ordinary,ordinary
"12,625",0,0,1,1,1,top_5_10,outstanding
"12,626",0,1,0,0,0,ordinary,ordinary
"12,627",0.6931471806,0,2,0,4,ordinary,ordinary
"12,629",0,0,0,1,0,ordinary,ordinary
"12,632",0,0,1,0,0,ordinary,ordinary
"12,635",0,0,1,0,0,ordinary,ordinary
"12,636",0.6931471806,0,2,0,0,ordinary,ordinary
"12,637",0,0,3,3,3,ordinary,ordinary
"12,638",0.6931471806,0,1,0,2,ordinary,ordinary
"12,639",0.6931471806,0,4,0,0,ordinary,ordinary
"12,641",4.6668318452,5,7,3,5,top_10_15,outstanding
"12,646",0,0,0,1,1,ordinary,ordinary
"12,649",0,1,0,1,0,ordinary,ordinary
"12,650",4.1404662656,4,3,5,5,top_5,outstanding
"12,652",0,0,1,1,1,ordinary,ordinary
"12,656",0,0,1,0,0,ordinary,ordinary
"12,660",3.199492236,13,4,2,7,top_5_10,outstanding
"12,661",0,0,1,1,1,ordinary,ordinary
"12,664",0,0,2,0,6,ordinary,ordinary
"12,665",0,1,0,0,1,ordinary,ordinary
"12,667",1.0986122887,0,0,6,0,ordinary,ordinary
"12,669",0,0,1,1,1,ordinary,ordinary
"12,675",0,0,1,0,1,ordinary,ordinary
"12,676",0,0,0,1,0,ordinary,ordinary
"12,677",0,1,0,3,3,ordinary,ordinary
"12,685",0.6931471806,0,0,0,4,ordinary,ordinary
"12,686",1.3296613489,0,4,3,3,top_10_15,outstanding
"12,687",2.1360745539,0,4,4,6,top_5_10,outstanding
"12,691",3.6991290071,5,2,8,6,top_5,outstanding
"12,693",0.6931471806,0,1,2,1,ordinary,ordinary
"12,694",4.941121325,6,7,4,5,ordinary,ordinary
"12,695",0,1,0,0,0,ordinary,ordinary
"12,698",3.9300925287,6,3,3,4,ordinary,ordinary
"12,699",0.6931471806,1,0,1,2,top_5,outstanding
"12,700",0,1,0,0,0,ordinary,ordinary
"12,707",1.0986122887,1,0,0,9,ordinary,ordinary
"12,709",0,0,0,0,1,ordinary,ordinary
"12,712",0.6365141683,0,9,0,3,ordinary,ordinary
"12,716",0,1,0,0,0,ordinary,ordinary
"12,718",0,1,0,1,1,ordinary,ordinary
"12,723",0.6931471806,6,0,8,2,top_10_15,outstanding
"12,725",4.6991057311,10,14,9,10,ordinary,ordinary
"12,728",0.6931471806,3,0,6,0,ordinary,ordinary
