"id_user","entropy","layer_1","layer_2","layer_3","layer_4","class","class2"
"43,027",0,1,0,1,1,ordinary,ordinary
"43,033",0,0,0,2,0,ordinary,ordinary
"43,034",0,0,0,3,0,ordinary,ordinary
"43,035",0,1,0,1,1,ordinary,ordinary
"43,037",0,0,0,1,0,ordinary,ordinary
"43,038",0,0,0,6,6,ordinary,ordinary
"43,045",1.2730283366,3,0,3,0,ordinary,ordinary
"43,048",0,1,0,1,0,ordinary,ordinary
"43,053",0,0,0,1,0,ordinary,ordinary
"43,055",0,1,0,1,0,ordinary,ordinary
"43,056",0.6931471806,0,0,8,0,ordinary,ordinary
"43,059",0,1,0,1,0,ordinary,ordinary
"43,060",0,2,0,2,0,ordinary,ordinary
"43,065",0.6931471806,1,0,6,1,ordinary,ordinary
"43,066",0.6931471806,2,0,1,0,ordinary,ordinary
"43,072",0,2,2,0,0,ordinary,ordinary
"43,073",0,0,1,1,1,ordinary,ordinary
"43,074",0,1,0,1,1,top_5_10,outstanding
"43,076",0,2,0,0,2,ordinary,ordinary
"43,077",0.6931471806,0,0,2,0,ordinary,ordinary
"43,078",0,2,2,2,0,ordinary,ordinary
"43,082",0,0,1,0,0,ordinary,ordinary
"43,083",0,0,2,0,0,ordinary,ordinary
"43,084",0,0,0,1,1,ordinary,ordinary
"43,087",0,3,3,1,0,ordinary,ordinary
"43,093",0.6365141683,3,1,0,0,top_10_15,outstanding
"43,097",0,0,0,2,0,ordinary,ordinary
"43,098",0.6931471806,6,0,0,0,ordinary,ordinary
"43,100",0.6931471806,0,1,2,0,ordinary,ordinary
"43,102",0,0,1,1,1,ordinary,ordinary
"43,108",7.3402404437,16,7,27,13,top_5,outstanding
"43,112",0.6931471806,6,3,0,0,ordinary,ordinary
"43,116",0,1,0,1,0,ordinary,ordinary
"43,118",1.7917594692,2,0,3,0,ordinary,ordinary
"43,120",0,1,1,1,0,ordinary,ordinary
"43,121",0.6931471806,0,2,0,0,ordinary,ordinary
"43,123",0.6931471806,2,0,1,0,ordinary,ordinary
"43,124",0.6931471806,0,0,1,2,ordinary,ordinary
"43,125",0,2,0,0,2,ordinary,ordinary
"43,127",0.6931471806,0,0,10,5,ordinary,ordinary
"43,134",0,1,0,0,1,ordinary,ordinary
"43,136",0,1,1,1,0,ordinary,ordinary
"43,137",0.6931471806,0,0,2,1,ordinary,ordinary
"43,139",0.6365141683,0,0,0,3,ordinary,ordinary
"43,141",0,1,1,0,0,ordinary,ordinary
"43,146",0,1,0,0,0,ordinary,ordinary
"43,148",0,3,3,0,3,ordinary,ordinary
"43,149",0,0,1,0,0,ordinary,ordinary
"43,152",1.91974945,17,1,17,3,ordinary,ordinary
"43,158",0.6931471806,2,0,0,0,ordinary,ordinary
"43,161",0,1,0,1,0,ordinary,ordinary
"43,164",1.6973711155,4,7,9,3,ordinary,ordinary
"43,166",1.1935496041,0,0,20,0,ordinary,ordinary
"43,172",0,0,0,1,1,ordinary,ordinary
"43,173",0,1,0,0,0,ordinary,ordinary
"43,177",0.6931471806,2,0,1,0,ordinary,ordinary
"43,180",2.1594159293,18,0,15,3,ordinary,ordinary
"43,183",0,0,1,0,0,ordinary,ordinary
"43,189",0.6931471806,4,10,0,0,ordinary,ordinary
"43,190",0,0,2,2,0,ordinary,ordinary
"43,191",0.6931471806,0,0,0,2,ordinary,ordinary
"43,192",0,2,0,2,0,top_10_15,outstanding
"43,193",0.6931471806,0,4,0,2,ordinary,ordinary
"43,194",0.6931471806,1,0,2,0,ordinary,ordinary
"43,199",0,0,0,0,1,top_5_10,outstanding
"43,202",3.692532984,98,1,57,10,ordinary,ordinary
"43,206",0,1,0,1,1,ordinary,ordinary
"43,207",2.8417873631,11,0,7,0,ordinary,ordinary
"43,209",0,0,0,0,1,ordinary,ordinary
"43,211",0,0,0,2,0,ordinary,ordinary
"43,212",2.0228085294,3,0,2,2,ordinary,ordinary
"43,213",0,1,0,0,0,ordinary,ordinary
"43,217",0,0,1,0,1,ordinary,ordinary
"43,218",3.0836654766,0,1,6,9,top_10_15,outstanding
"43,219",0,0,0,0,1,ordinary,ordinary
"43,222",1.0986122887,1,0,0,3,top_5,outstanding
"43,226",0,0,0,0,1,ordinary,ordinary
"43,228",0,1,0,1,0,ordinary,ordinary
"43,229",8.594968702,76,28,30,10,top_5,outstanding
"43,232",0,0,0,1,0,ordinary,ordinary
"43,233",0.6931471806,2,0,0,0,ordinary,ordinary
"43,235",0,0,0,0,1,ordinary,ordinary
"43,236",0.6931471806,18,0,0,9,ordinary,ordinary
"43,237",2.8389889332,2,0,11,0,ordinary,ordinary
