"id_user" ;"diff_min" ;"class" ;"class2"
8,046 ;43.9367166667 ;top_5 ;outstanding
8,478 ;691,418.6348333334 ;top_5 ;outstanding
14,604 ;12,910.48755 ;top_5 ;outstanding
12,594 ;6,262.3047166667 ;top_5 ;outstanding
7,609 ;5.2211666667 ;top_5 ;outstanding
13,575 ;55.5116666667 ;top_5 ;outstanding
6,755 ;2.4752833333 ;top_5 ;outstanding
14,529 ;0 ;top_5 ;outstanding
6,850 ;16,825.2371666667 ;top_5 ;outstanding
6,962 ;338.6876666667 ;top_5 ;outstanding
12,212 ;50.4919333333 ;top_5 ;outstanding
12,352 ;9.5977833333 ;top_5 ;outstanding
6,876 ;2,048.8598333333 ;top_5 ;outstanding
7,439 ;13.92955 ;top_5 ;outstanding
17,640 ;11.26305 ;top_5 ;outstanding
22,731 ;0.4132333333 ;top_5 ;outstanding
7,301 ;126.5606666667 ;top_5 ;outstanding
13,855 ;0.6155 ;top_5 ;outstanding
12,479 ;124,856.5276666667 ;top_5 ;outstanding
8,313 ;3.0083333333 ;top_5 ;outstanding
6,844 ;131,143.4213333333 ;top_5 ;outstanding
7,168 ;763.65205 ;top_5 ;outstanding
7,993 ;0.41705 ;top_5 ;outstanding
12,691 ;0.2163833333 ;top_5 ;outstanding
9,412 ;8.5165 ;top_5 ;outstanding
10,969 ;0 ;top_5 ;outstanding
16,049 ;33.0787166667 ;top_5 ;outstanding
6,822 ;55,135.6239 ;top_5 ;outstanding
17,590 ;2,691.2301666667 ;top_5 ;outstanding
6,892 ;41,165.3635 ;top_5 ;outstanding
25,444 ;0.1606666667 ;top_5 ;outstanding
8,001 ;4.7973833333 ;top_5 ;outstanding
11,693 ;0.9473833333 ;top_5 ;outstanding
8,527 ;0.1672166667 ;top_5 ;outstanding
9,445 ;17.2702333333 ;top_5 ;outstanding
8,771 ;14.7748833333 ;top_5 ;outstanding
8,407 ;1,097.1595 ;top_5 ;outstanding
6,798 ;37,529.4740666667 ;top_5 ;outstanding
17,189 ;1,054.7626666667 ;top_5 ;outstanding
12,377 ;6.2076666667 ;top_5 ;outstanding
15,029 ;7.9954333333 ;top_5 ;outstanding
8,033 ;12.4808333333 ;top_5 ;outstanding
9,013 ;5.1086666667 ;top_5 ;outstanding
12,357 ;0.4583833333 ;top_5 ;outstanding
7,082 ;2.3371666667 ;top_5 ;outstanding
8,867 ;171.0143333333 ;top_5 ;outstanding
19,158 ;4.4491666667 ;top_5 ;outstanding
15,596 ;40.0877833333 ;top_5 ;outstanding
7,701 ;1.3902166667 ;top_5 ;outstanding
23,667 ;417.2166166667 ;top_5 ;outstanding
6,782 ;31,472.5768333333 ;top_5 ;outstanding
10,610 ;45.5326666667 ;top_5 ;outstanding
7,703 ;0.949 ;top_5 ;outstanding
11,448 ;0.3187333333 ;top_5 ;outstanding
7,305 ;23,644.08505 ;top_5 ;outstanding
10,957 ;16.5616666667 ;top_5 ;outstanding
14,083 ;0.729 ;top_5 ;outstanding
6,950 ;3.1341166667 ;top_5 ;outstanding
12,161 ;35.54245 ;top_5 ;outstanding
15,130 ;141.7142833333 ;top_5 ;outstanding
22,701 ;0.204 ;top_5 ;outstanding
8,141 ;5.8767333333 ;top_5 ;outstanding
6,910 ;1,716.456 ;top_5 ;outstanding
18,898 ;83.1498333333 ;top_5 ;outstanding
6,731 ;22.64155 ;top_5 ;outstanding
9,479 ;20.4298333333 ;top_5 ;outstanding
15,540 ;10,222.2181666667 ;top_5 ;outstanding
20,081 ;46.4014333333 ;top_5 ;outstanding
7,762 ;2,898.65005 ;top_5 ;outstanding
11,109 ;21.7993333333 ;top_5 ;outstanding
12,528 ;11,323.17055 ;top_5 ;outstanding
6,707 ;18,387.9005 ;top_5 ;outstanding
11,092 ;24,623.7805 ;top_5 ;outstanding
13,424 ;17.7328833333 ;top_5 ;outstanding
11,168 ;34.7353833333 ;top_5 ;outstanding
6,985 ;113.1095 ;top_5 ;outstanding
13,851 ;0.0156666667 ;top_5 ;outstanding
6,728 ;2,582.9877833333 ;top_5 ;outstanding
11,044 ;0.60295 ;top_5 ;outstanding
7,230 ;0.3598333333 ;top_5 ;outstanding
7,044 ;236.7148333333 ;top_5 ;outstanding
23,501 ;2.1888333333 ;top_5 ;outstanding
9,695 ;820,893.6284333334 ;top_5 ;outstanding
9,727 ;132.0056666667 ;top_5 ;outstanding
6,909 ;97,903.6118833333 ;top_5 ;outstanding
10,672 ;26.4332333333 ;top_5 ;outstanding
9,464 ;1,469.4491 ;top_5 ;outstanding
10,080 ;144.2935 ;top_5 ;outstanding
24,579 ;1.0608333333 ;top_5 ;outstanding
15,120 ;1,152.2081166667 ;top_5 ;outstanding
19,317 ;1,424.911 ;top_5 ;outstanding
6,838 ;999.6923333333 ;top_5 ;outstanding
8,014 ;16.7615 ;top_5 ;outstanding
9,932 ;96,876.07345 ;top_5 ;outstanding
7,604 ;6,891.626 ;top_5 ;outstanding
12,913 ;9.1971666667 ;top_5 ;outstanding
10,857 ;798,170.9263333332 ;top_5 ;outstanding
8,274 ;4.6334333333 ;top_5 ;outstanding
14,386 ;171.5343333333 ;top_5 ;outstanding
10,786 ;0 ;top_5 ;outstanding
16,827 ;7.6076166667 ;top_5 ;outstanding
23,023 ;4.77905 ;top_5 ;outstanding
7,947 ;120.78645 ;top_5 ;outstanding
16,676 ;269,085.4499 ;top_5 ;outstanding
6,747 ;67.6676 ;top_5 ;outstanding
13,163 ;492,544.1332833333 ;top_5 ;outstanding
25,936 ;5.4292166667 ;top_5 ;outstanding
8,711 ;188.2276666667 ;top_5 ;outstanding
7,475 ;17,611.94 ;top_5 ;outstanding
